"","Species_name","Alt_name.notes","Genome","Assembly","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel.Pattern","Confidence","Parvorder","tips"
"Neophocaena_asiaeorientalis","Neophocaena asiaeorientalis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,5,2,3","Odontoceti","Neophocaena_asiaeorientalis"
"Neophocaena_phocaenoides","Neophocaena phocaenoides","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,3,3","Odontoceti","Neophocaena_phocaenoides"
"Neophocaena_sunameri","Neophocaena sunameri","Not in mam tree",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,3","Odontoceti","Neophocaena_sunameri"
"Orcaella_brevirostris","Orcaella brevirostris","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,2,3,3,2","Odontoceti","Orcaella_brevirostris"
"Orcaella_heinsohni","Orcaella heinsohni","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,2,0","Odontoceti","Orcaella_heinsohni"
"Orcinus_orca","Orcinus orca","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,3,3,4,4,3","Odontoceti","Orcinus_orca"
"Peponocephala_electra","Peponocephala electra","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,4","Odontoceti","Peponocephala_electra"
"Phocoena_phocoena","Phocoena phocoena","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal (muddy areas), diurnal (population)","3,3,4,3,3,4,3,3,4,3,3","Odontoceti","Phocoena_phocoena"
"Phocoena_sinus","Phocoena sinus","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3","Odontoceti","Phocoena_sinus"
"Phocoena_spinipinnis","Phocoena spinipinnis","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","1.5, 2, 0, 1.5, 2, 0.5","Odontoceti","Phocoena_spinipinnis"
"Phocoenoides_dalli","Phocoenoides dalli","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,3,3","Odontoceti","Phocoenoides_dalli"
"Physeter_macrocephalus","Physeter macrocephalus","Physeter macrocephalus","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal (subpopulation in Ogasawara and sites far from equator, temporal during winter)","3,4,3,4,4,3,3,3,3,3,4,3","Odontoceti","Physeter_macrocephalus"
"Platanista_gangetica","Platanista gangetica","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,2,2,3","Odontoceti","Platanista_gangetica"
"Platanista_minor","Platanista minor","Not in mam tree","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3, 0","Odontoceti","Platanista_minor"
"Pontoporia_blainvillei","Pontoporia blainvillei","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3, 0, 3","Odontoceti","Pontoporia_blainvillei"
"Pseudorca_crassidens","Pseudorca crassidens","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","5,4, 4, 4","Odontoceti","Pseudorca_crassidens"
"Sotalia_fluviatilis","Sotalia fluviatilis","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,2,2,3","Odontoceti","Sotalia_fluviatilis"
"Sotalia_guianensis","Sotalia guianensis","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,2,2,2,2","Odontoceti","Sotalia_guianensis"
"Sousa_chinensis","Sousa chinensis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,3,3,2","Odontoceti","Sousa_chinensis"
"Sousa_plumbea","Sousa plumbea","Not in mam tree",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,3,2","Odontoceti","Sousa_plumbea"
"Sousa_teuszii","Sousa teuszii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,2","Odontoceti","Sousa_teuszii"
"Stenella_attenuata","Stenella attenuata","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3,2","Odontoceti","Stenella_attenuata"
"Stenella_clymene","Stenella clymene","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Stenella_clymene"
"Stenella_coeruleoalba","Stenella coeruleoalba","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,3,3,3,0","Odontoceti","Stenella_coeruleoalba"
"Stenella_frontalis","Stenella frontalis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2,2","Odontoceti","Stenella_frontalis"
"Stenella_longirostris","Stenella longirostris","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,2, 4, 4, 2, 3","Odontoceti","Stenella_longirostris"
"Steno_bredanensis","Steno bredanensis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Steno_bredanensis"
"Tursiops_aduncus","Tursiops aduncus","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (population) *deep-diving off-shore ecotype, recently described, may be separate species https://doi.org/10.1111/jeb.13575*","3,2,5,2,3,4,2,3","Odontoceti","Tursiops_aduncus"
"Tursiops_truncatus","Tursiops truncatus","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (population) *deep-diving off-shore ecotype, recently described, may be separate species https://doi.org/10.1111/jeb.13575*","5,2,2,5,5,3,3,3,4,4,4","Odontoceti","Tursiops_truncatus"
"Ziphius_cavirostris","Ziphius cavirostris","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,4,3,4,3","Odontoceti","Ziphius_cavirostris"
