"tips","max_crep","Order","Family","Genus"
"Scotorepens_balstoni","nocturnal","Chiroptera","Vespertilionidae","Scotorepens"
"Scotorepens_greyii","nocturnal","Chiroptera","Vespertilionidae","Scotorepens"
"Scotorepens_orion","nocturnal","Chiroptera","Vespertilionidae","Scotorepens"
"Scotorepens_sanborni","nocturnal","Chiroptera","Vespertilionidae","Scotorepens"
"Scotozous_dormeri","nocturnal","Chiroptera","Vespertilionidae","Scotozous"
"Scutisorex_somereni","cathemeral","Eulipotyphla","Soricidae","Scutisorex"
"Sekeetamys_calurus","nocturnal","Rodentia","Muridae","Sekeetamys"
"Selevinia_betpakdalaensis","nocturnal","Rodentia","Gliridae","Selevinia"
"Semnopithecus_ajax","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Semnopithecus_dussumieri","diurnal","Primates",NA,NA
"Semnopithecus_entellus","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Semnopithecus_hector","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Semnopithecus_hypoleucos","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Semnopithecus_hypoleucos","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Semnopithecus_priam","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Semnopithecus_schistaceus","diurnal","Primates","Cercopithecidae","Semnopithecus"
"Setifer_setosus","nocturnal","Primates",NA,"Setifer"
"Setonix_brachyurus","nocturnal","Diprotodontia","Macropodidae","Setonix"
"Sicista_armenica","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_betulina","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_caucasica","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_caudata","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_concolor","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_kazbegica","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_kluchorica","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_napaea","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_pseudonapaea","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_severtzovi","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_strandi","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_subtilis","nocturnal","Rodentia","Dipodidae","Sicista"
"Sicista_tianshanica","nocturnal","Rodentia","Dipodidae","Sicista"
"Sigmodon_alleni","cathemeral","Rodentia","Cricetidae","Sigmodon"
"Sigmodon_alstoni","cathemeral","Rodentia","Cricetidae","Sigmodon"
