"Species_name","Parvorder","Diel_Pattern_2","Diel_Pattern","New_Pattern","Confidence","tips","column","value"
"Balaenoptera brydei","Mysticeti","Nocturnal","nocturnal","nocturnal","4,3,3","Balaenoptera_brydei","Conf3.1","nocturnal"
"Balaenoptera brydei","Mysticeti","Nocturnal","nocturnal","nocturnal","4,3,3","Balaenoptera_brydei","Conf3.2","nocturnal"
"Balaenoptera brydei","Mysticeti","Nocturnal","nocturnal","nocturnal","4,3,3","Balaenoptera_brydei","Conf4.1","nocturnal"
"Balaenoptera edeni","Mysticeti","Diurnal","diurnal","diurnal","4,3,2","Balaenoptera_edeni","Conf2.1","unclear/crepuscular"
"Balaenoptera edeni","Mysticeti","Diurnal","diurnal","diurnal","4,3,2","Balaenoptera_edeni","Conf3.1","cathemeral"
"Balaenoptera edeni","Mysticeti","Diurnal","diurnal","diurnal","4,3,2","Balaenoptera_edeni","Conf4.1","diurnal"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf3.1","diurnal"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf3.2","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf3.3","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf3.4","nocturnal/crepuscular"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf3.5","cathemeral"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf4.1","cathemeral"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf4.2","nocturnal"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf4.3","cathemeral"
"Balaenoptera musculus","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,4,4,3,3,4,3,3","Balaenoptera_musculus","Conf4.4","cathemeral"
"Balaenoptera omurai","Mysticeti","Cathemeral","cathemeral","cathemeral","3,3","Balaenoptera_omurai","Conf3.1","diurnal"
"Balaenoptera omurai","Mysticeti","Cathemeral","cathemeral","cathemeral","3,3","Balaenoptera_omurai","Conf3.2","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf2.1","unclear/cathemeral"
