"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Mazama nana","Mazama nana","diurnal","diurnal/crepuscular","crepuscular","diurnal","Mazama_nana"
"Moschiola meminna","Moschiola meminna","nocturnal","nocturnal","nocturnal","nocturnal","Moschiola_meminna"
"Moschus berezovskii","Moschus berezovskii","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_berezovskii"
"Moschus chrysogaster","Moschus chrysogaster","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_chrysogaster"
"Moschus fuscus","Moschus fuscus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_fuscus"
"Moschus moschiferus","Moschus moschiferus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_moschiferus"
"Muntiacus atherodes","Muntiacus atherodes",NA,"cathemeral","cathemeral","cathemeral","Muntiacus_atherodes"
"Muntiacus muntjak","Muntiacus muntjak",NA,"cathemeral","cathemeral","cathemeral","Muntiacus_muntjak"
"Naemorhedus caudatus","Naemorhedus caudatus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Naemorhedus_caudatus"
"Naemorhedus goral","Naemorhedus goral",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Naemorhedus_goral"
"Nanger dama","Nanger dama","diurnal","diurnal","diurnal","diurnal","Nanger_dama"
"Nanger granti","Nanger granti",NA,"cathemeral","cathemeral","cathemeral","Nanger_granti"
"Nanger soemmerringii","Nanger soemmerringii","diurnal","diurnal","diurnal","diurnal","Nanger_soemmerringii"
"Neotragus batesi","Neotragus batesi","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neotragus_batesi"
"Neotragus moschatus","Neotragus moschatus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neotragus_moschatus"
"Neotragus pygmaeus","Neotragus pygmaeus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neotragus_pygmaeus"
"Odocoileus hemionus","Odocoileus hemionus",NA,"cathemeral","cathemeral","cathemeral","Odocoileus_hemionus"
"Odocoileus virginianus","Odocoileus virginianus",NA,"cathemeral","cathemeral","cathemeral","Odocoileus_virginianus"
"Okapia johnstoni","Okapia johnstoni","diurnal","diurnal","diurnal","diurnal","Okapia_johnstoni"
"Oreamnos americanus","Oreamnos americanus","diurnal","diurnal/crepuscular","crepuscular","diurnal","Oreamnos_americanus"
"Oreotragus oreotragus","Oreotragus oreotragus",NA,"cathemeral","cathemeral","cathemeral","Oreotragus_oreotragus"
"Oryx beisa","Oryx beisa",NA,"cathemeral","cathemeral","cathemeral","Oryx_beisa"
"Oryx gazella","Oryx gazella",NA,"cathemeral","cathemeral","cathemeral","Oryx_gazella"
"Oryx leucoryx","Oryx leucoryx",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Oryx_leucoryx"
"Ourebia ourebi","Ourebia ourebi","diurnal","diurnal","diurnal","diurnal","Ourebia_ourebi"
"Ovibos moschatus","Ovibos moschatus",NA,"cathemeral","cathemeral","cathemeral","Ovibos_moschatus"
"Ovis ammon","Ovis ammon","diurnal","diurnal","diurnal","diurnal","Ovis_ammon"
"Ovis aries","Ovis aries","nocturnal","nocturnal","nocturnal","nocturnal","Ovis_aries"
"Ovis canadensis","Ovis canadensis",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Ovis_canadensis"
"Ovis dalli","Ovis dalli","diurnal","diurnal","diurnal","diurnal","Ovis_dalli"
"Ozotoceros bezoarticus","Ozotoceros bezoarticus",NA,"cathemeral","cathemeral","cathemeral","Ozotoceros_bezoarticus"
"Pantholops hodgsonii","Pantholops hodgsonii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Pantholops_hodgsonii"
"Pecari tajacu","Pecari tajacu","diurnal","diurnal","diurnal","diurnal","Pecari_tajacu"
"Pelea capreolus","Pelea capreolus","diurnal","diurnal","diurnal","diurnal","Pelea_capreolus"
"Phacochoerus aethiopicus","Phacochoerus aethiopicus","diurnal","diurnal","diurnal","diurnal","Phacochoerus_aethiopicus"
"Phacochoerus africanus","Phacochoerus africanus","diurnal","diurnal","diurnal","diurnal","Phacochoerus_africanus"
"Philantomba maxwellii","Philantomba maxwellii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Philantomba_maxwellii"
