"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"2712","ilypnus gilberti","Ilypnus gilberti",FALSE,387077,FALSE,"",1,"Ilypnus_gilberti","Ilypnus","Gobiidae","Gobiiformes","diurnal","diurnal",4,"","NEW_SPECIES"
"2713","imparfinis minutus","Imparfinis minutus",FALSE,713098,FALSE,"",1,"Imparfinis_minutus","Imparfinis","Heptapteridae","Siluriformes","nocturnal","nocturnal",4,"","NEW_SPECIES"
"2714","imparfinis pristos","Imparfinis pristos",FALSE,3624067,FALSE,"",1,"Imparfinis_pristos","Imparfinis","Heptapteridae","Siluriformes","nocturnal","nocturnal",4,"","HIGHER_CONF"
"2715","imparfinis schubarti","Imparfinis schubarti",FALSE,3624064,FALSE,"",1,"Imparfinis_schubarti","Imparfinis","Heptapteridae","Siluriformes","crepuscular/nocturnal","crepuscular",4,"","NEW_SPECIES"
"2717","iniistius pavo","Iniistius pavo",FALSE,839457,FALSE,"",1,"Iniistius_pavo","Iniistius","Labridae","Eupercaria/misc","diurnal","diurnal",1,"",""
"2718","inimicus japonicus","Inimicus japonicus",FALSE,301023,FALSE,"",1,"Inimicus_japonicus","Inimicus","Synanceiidae","Perciformes/Scorpaenoidei","crepuscular","crepuscular",3,"","NEW_SPECIES"
"2719","iodotropheus sprengerae","Iodotropheus sprengerae",FALSE,1018148,FALSE,"",1,"Iodotropheus_sprengerae","Iodotropheus","Cichlidae","Cichliformes","diurnal","diurnal",5,"",""
"2720","iotichthys phlegethontis","Iotichthys phlegethontis",FALSE,518177,FALSE,"",1,"Iotichthys_phlegethontis","Iotichthys","Leuciscidae","Cypriniformes","nocturnal","nocturnal",2,"",""
"2721","isistius brasiliensis","Isistius brasiliensis",FALSE,277019,FALSE,"",1,"Isistius_brasiliensis","Isistius","Dalatiidae","Squaliformes","unclear","unknown",1,"","NEW_SPECIES"
"2722","isopisthus parvipinnis","Isopisthus parvipinnis",FALSE,133138,FALSE,"",1,"Isopisthus_parvipinnis","Isopisthus","Sciaenidae","Eupercaria/misc","diurnal","diurnal",3,"",""
