"Species_name","Parvorder","Diel_Pattern_2","Diel_Pattern","New_Pattern","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf1.5","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf2N.1","Conf2N.2","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf3.6","Conf3.7","Conf3.8","Conf3ByS.1","Conf3ByS.2","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf4.6","Conf4.7","Conf4.8","Conf5.1","Conf5.2","Conf5.3","Conf5.4","Confidence","tips"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","",NA,NA,NA,NA,"unclear/nocturnal",NA,NA,NA,NA,"",NA,"diurnal"," nocturnal/cathemeral"," cathemeral"," ",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,"3,3,3,5,2","Inia_geoffrensis"
"Inia humboldtiana","Odontoceti","Nocturnal","nocturnal","unclear","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Inia_humboldtiana"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","unclear"," nocturnal",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,1,1,4,3,3","Kogia_breviceps"
"Kogia sima","Odontoceti","Nocturnal/crepuscular","crepuscular","","unclear",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,2,1,3,3","Kogia_sima"
"Lagenodelphis hosei","Odontoceti","Nocturnal","nocturnal","nocturnal","unclear/nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1,3","Lagenodelphis_hosei"
"Lagenorhynchus acutus","Odontoceti","Nocturnal","nocturnal","","",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3","Lagenorhynchus_acutus"
"Lagenorhynchus albirostris","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,4","Lagenorhynchus_albirostris"
"Lagenorhynchus australis","Odontoceti","Nocturnal","nocturnal","unclear","unclear",NA,NA,NA,NA,"unclear"," unclear"," unclear"," unclear",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2, 2, 2, 1, 2","Lagenorhynchus_australis"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," cathemeral"," nocturnal",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"3,5,3,3,3","Lagenorhynchus_obliquidens"
"Lagenorhynchus obscurus","Odontoceti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"unclear/cathemeral"," unclear"," unclear"," unclear/nocturnal",NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"cathemeral"," nocturnal/crepuscular"," nocturnal/crepuscular",NA,NA,NA,NA,NA,"",NA,NA,NA,"4,2,2,2,4,4,3,2,3","Lagenorhynchus_obscurus"
"Lipotes vexillifer","Odontoceti","Diurnal","diurnal","","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal"," diurnal",NA,NA,"1,5,5","Lipotes_vexillifer"
"Lissodelphis borealis","Odontoceti","Nocturnal","nocturnal","unclear","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Lissodelphis_borealis"
"Lissodelphis peronii","Odontoceti","Nocturnal","nocturnal","unclear","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"1","Lissodelphis_peronii"
"Megaptera novaeangliae","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral"," cathemeral"," nocturnal/cathemeral"," nocturnal"," cathemeral"," nocturnal","",NA,NA,NA,"4,4,4,3,4,4,4,4","Megaptera_novaeangliae"
"Mesoplodon bidens","Odontoceti","Cathemeral","cathemeral","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,4","Mesoplodon_bidens"
"Mesoplodon densirostris","Odontoceti","Cathemeral","cathemeral","cathemeral","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral",NA,NA,NA,NA,NA,"",NA,NA,NA,"4,4,3,4,3,3","Mesoplodon_densirostris"
"Mesoplodon europaeus","Odontoceti","Cathemeral","cathemeral","","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," nocturnal/cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Mesoplodon_europaeus"
"Mesoplodon ginkgodens","Odontoceti","Nocturnal","nocturnal","nocturnal","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3, 3","Mesoplodon_ginkgodens"
"Mesoplodon hotaula","Odontoceti","Diurnal","diurnal","diurnal","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3","Mesoplodon_hotaula"
"Mesoplodon mirus","Odontoceti","Diurnal/crepuscular","crepuscular","diurnal/crepuscular","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3","Mesoplodon_mirus"
