Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Notiomys edwardsii,Rodentia,Cricetidae,Notiomys,edwardsii,Edwards's Long-clawed Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Notiosorex cockrumi,Eulipotyphla,Soricidae,Notiosorex,cockrumi,Cockrum's Grey Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Notiosorex crawfordi,Eulipotyphla,Soricidae,Notiosorex,crawfordi,Desert Shrew,Cathemeral,Cathemeral,1,0,0,1,,
Notiosorex evotis,Eulipotyphla,Soricidae,Notiosorex,evotis,Large-eared Grey Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Notiosorex villai,Eulipotyphla,Soricidae,Notiosorex,villai,Villa's Grey Shrew,NA,Nocturnal,Imputed,NA,0,Imputed,,
Notocitellus adocetus,Rodentia,Sciuridae,Notocitellus,adocetus,Tropical Ground Squirrel,Diurnal,Diurnal,1,0,0,1,,
Notocitellus annulatus,Rodentia,Sciuridae,Notocitellus,annulatus,Ring-tailed Ground Squirrel,Diurnal,Diurnal,1,0,0,1,,
Notomys alexis,Rodentia,Muridae,Notomys,alexis,Spinifex Hopping Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Notomys aquilo,Rodentia,Muridae,Notomys,aquilo,Northern Hopping-mouse,Nocturnal,Nocturnal,1,0,0,1,,
Notomys cervinus,Rodentia,Muridae,Notomys,cervinus,Fawn Hopping-mouse,Nocturnal,Nocturnal,1,0,0,1,,
Notomys fuscus,Rodentia,Muridae,Notomys,fuscus,Dusky Hopping-mouse,Nocturnal,Nocturnal,1,0,0,1,,
Notomys mitchellii,Rodentia,Muridae,Notomys,mitchellii,Mitchell's Hopping Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Notopteris macdonaldi,Chiroptera,Pteropodidae,Notopteris,macdonaldi,Fijian Blossom Bat,Nocturnal,Nocturnal,1,0,0,1,,
Notopteris neocaledonica,Chiroptera,Pteropodidae,Notopteris,neocaledonica,New Caledonia Blossom Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus aviator,Chiroptera,Vespertilionidae,Nyctalus,aviator,Vostochnaya Vechernitsa,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus azoreum,Chiroptera,Vespertilionidae,Nyctalus,azoreum,Azorean Bat,Nocturnal,Nocturnal,1,1,1,1,,
Nyctalus furvus,Chiroptera,Vespertilionidae,Nyctalus,furvus,Japanese Noctule,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus lasiopterus,Chiroptera,Vespertilionidae,Nyctalus,lasiopterus,Giant Noctule,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus leisleri,Chiroptera,Vespertilionidae,Nyctalus,leisleri,Lesser Noctule,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus montanus,Chiroptera,Vespertilionidae,Nyctalus,montanus,Mountain Noctule,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus noctula,Chiroptera,Vespertilionidae,Nyctalus,noctula,Noctule,Nocturnal,Nocturnal,1,0,0,1,,
Nyctalus plancyi,Chiroptera,Vespertilionidae,Nyctalus,plancyi,Chinese Noctule,Nocturnal,Nocturnal,1,0,0,1,,
Nyctereutes procyonoides,Carnivora,Canidae,Nyctereutes,procyonoides,Raccoon Dog,Nocturnal,Nocturnal,1,1,1,1,,
Nycteris arge,Chiroptera,Nycteridae,Nycteris,arge,Bate's Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris aurita,Chiroptera,Nycteridae,Nycteris,aurita,Andersen's Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris gambiensis,Chiroptera,Nycteridae,Nycteris,gambiensis,Gambian Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris grandis,Chiroptera,Nycteridae,Nycteris,grandis,Large Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris hispida,Chiroptera,Nycteridae,Nycteris,hispida,Hairy Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris intermedia,Chiroptera,Nycteridae,Nycteris,intermedia,Intermediate Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris javanica,Chiroptera,Nycteridae,Nycteris,javanica,Javan Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris macrotis,Chiroptera,Nycteridae,Nycteris,macrotis,Large-eared Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris madagascariensis,Chiroptera,Nycteridae,Nycteris,madagascariensis,Madagascar Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris major,Chiroptera,Nycteridae,Nycteris,major,Dja Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris nana,Chiroptera,Nycteridae,Nycteris,nana,Dwarf Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris parisii,Chiroptera,Nycteridae,Nycteris,parisii,Parisi's Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris thebaica,Chiroptera,Nycteridae,Nycteris,thebaica,Cape Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris tragata,Chiroptera,Nycteridae,Nycteris,tragata,Malayan Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris vinsoni,Chiroptera,Nycteridae,Nycteris,vinsoni,Vinson's Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycteris woodi,Chiroptera,Nycteridae,Nycteris,woodi,Wood's Slit-faced Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycticebus bengalensis,Primates,Lorisidae,Nycticebus,bengalensis,Bengal Slow Loris,Nocturnal,Nocturnal,1,0,0,1,,
Nycticebus coucang,Primates,Lorisidae,Nycticebus,coucang,Greater Slow Loris,Nocturnal,Nocturnal,1,0,0,1,,
Nycticebus javanicus,Primates,Lorisidae,Nycticebus,javanicus,Javan Slow Loris,Nocturnal,Nocturnal,1,0,0,1,,
Nycticebus menagensis,Primates,Lorisidae,Nycticebus,menagensis,Philippine Slow Loris,Nocturnal,Nocturnal,1,0,0,1,,
Nycticebus pygmaeus,Primates,Lorisidae,Nycticebus,pygmaeus,Pygmy Slow Loris,Nocturnal,Nocturnal,1,0,0,1,,
Nycticeinops schlieffeni,Chiroptera,Vespertilionidae,Nycticeinops,schlieffeni,Schlieffen's Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycticeius cubanus,Chiroptera,Vespertilionidae,Nycticeius,cubanus,Cuban Evening Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nycticeius humeralis,Chiroptera,Vespertilionidae,Nycticeius,humeralis,Evening Bat,Nocturnal,Nocturnal,1,0,1,1,,
Nyctiellus lepidus,Chiroptera,Natalidae,Nyctiellus,lepidus,Gervais's Funnel-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene aello,Chiroptera,Pteropodidae,Nyctimene,aello,Greater Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene albiventer,Chiroptera,Pteropodidae,Nyctimene,albiventer,Common Tube-nosed Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene cephalotes,Chiroptera,Pteropodidae,Nyctimene,cephalotes,Pallas's Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene certans,Chiroptera,Pteropodidae,Nyctimene,certans,Mountain Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene cyclotis,Chiroptera,Pteropodidae,Nyctimene,cyclotis,Round-eared Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene draconilla,Chiroptera,Pteropodidae,Nyctimene,draconilla,Lesser Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene keasti,Chiroptera,Pteropodidae,Nyctimene,keasti,Keast's Tube-nosed Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene major,Chiroptera,Pteropodidae,Nyctimene,major,Island Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene malaitensis,Chiroptera,Pteropodidae,Nyctimene,malaitensis,Malaita Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene masalai,Chiroptera,Pteropodidae,Nyctimene,masalai,Demonic Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene minutus,Chiroptera,Pteropodidae,Nyctimene,minutus,Lesser Tube-nosed Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene rabori,Chiroptera,Pteropodidae,Nyctimene,rabori,Philippine Tube-nosed Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene robinsoni,Chiroptera,Pteropodidae,Nyctimene,robinsoni,Eastern Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene sanctacrucis,Chiroptera,Pteropodidae,Nyctimene,sanctacrucis,Nend‚Äö?Ñ??‚àö‚Ä†‚àö‚àÇ‚Äö?Ñ??‚àö‚Ä†‚àö?° Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctimene vizcaccia,Chiroptera,Pteropodidae,Nyctimene,vizcaccia,Umboi Tube-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctinomops aurispinosus,Chiroptera,Molossidae,Nyctinomops,aurispinosus,Peale's Free-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctinomops femorosaccus,Chiroptera,Molossidae,Nyctinomops,femorosaccus,Pocketed Free-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctinomops laticaudatus,Chiroptera,Molossidae,Nyctinomops,laticaudatus,Broad-eared Free-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctinomops macrotis,Chiroptera,Molossidae,Nyctinomops,macrotis,Big Free-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctomys sumichrasti,Rodentia,Cricetidae,Nyctomys,sumichrasti,Vesper Rat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus arnhemensis,Chiroptera,Vespertilionidae,Nyctophilus,arnhemensis,Northern Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus bifax,Chiroptera,Vespertilionidae,Nyctophilus,bifax,Eastern Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus geoffroyi,Chiroptera,Vespertilionidae,Nyctophilus,geoffroyi,Lesser Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus gouldi,Chiroptera,Vespertilionidae,Nyctophilus,gouldi,Gould's Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus heran,Chiroptera,Vespertilionidae,Nyctophilus,heran,Sundan Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus howensis,Chiroptera,Vespertilionidae,Nyctophilus,howensis,Lord Howe Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus microdon,Chiroptera,Vespertilionidae,Nyctophilus,microdon,Small-toothed Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus microtis,Chiroptera,Vespertilionidae,Nyctophilus,microtis,Papuan Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus nebulosus,Chiroptera,Vespertilionidae,Nyctophilus,nebulosus,New Caledonia Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus sherrini,Chiroptera,Vespertilionidae,Nyctophilus,sherrini,Tasmanian Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Nyctophilus walkeri,Chiroptera,Vespertilionidae,Nyctophilus,walkeri,Pygmy Long-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Ochotona alpina,Lagomorpha,Ochotonidae,Ochotona,alpina,Alpine Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona argentata,Lagomorpha,Ochotonidae,Ochotona,argentata,Silver Pika,Crepuscular,Crepuscular,1,0,0,1,,
Ochotona cansus,Lagomorpha,Ochotonidae,Ochotona,cansus,Gansu Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona collaris,Lagomorpha,Ochotonidae,Ochotona,collaris,Collared Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona coreana,Lagomorpha,Ochotonidae,Ochotona,coreana,Korean Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona curzoniae,Lagomorpha,Ochotonidae,Ochotona,curzoniae,Plateau Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona dauurica,Lagomorpha,Ochotonidae,Ochotona,dauurica,Daurian Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona erythrotis,Lagomorpha,Ochotonidae,Ochotona,erythrotis,Chinese Red Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona forresti,Lagomorpha,Ochotonidae,Ochotona,forresti,Forrest's Pika,Cathemeral,Cathemeral,2,0,0,1,,
Ochotona gloveri,Lagomorpha,Ochotonidae,Ochotona,gloveri,Glover's Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona hoffmanni,Lagomorpha,Ochotonidae,Ochotona,hoffmanni,Hoffmann's Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona hyperborea,Lagomorpha,Ochotonidae,Ochotona,hyperborea,Northern Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona iliensis,Lagomorpha,Ochotonidae,Ochotona,iliensis,Ili Pika,Cathemeral,Cathemeral,1,1,1,1,,
Ochotona koslowi,Lagomorpha,Ochotonidae,Ochotona,koslowi,Kozlov's Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona ladacensis,Lagomorpha,Ochotonidae,Ochotona,ladacensis,Ladak Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona macrotis,Lagomorpha,Ochotonidae,Ochotona,macrotis,Large-eared Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona mantchurica,Lagomorpha,Ochotonidae,Ochotona,mantchurica,Manchurian Pika ,Diurnal,Diurnal,1,0,0,1,,
Ochotona nubrica,Lagomorpha,Ochotonidae,Ochotona,nubrica,Nubra Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona opaca,Lagomorpha,Ochotonidae,Ochotona,opaca,Kazakh Pika ,Cathemeral,Cathemeral,1,1,1,1,,
Ochotona pallasii,Lagomorpha,Ochotonidae,Ochotona,pallasii,Pallas's Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona princeps,Lagomorpha,Ochotonidae,Ochotona,princeps,American Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona pusilla,Lagomorpha,Ochotonidae,Ochotona,pusilla,Steppe Pika,Nocturnal,Nocturnal,1,1,1,1,,
Ochotona roylei,Lagomorpha,Ochotonidae,Ochotona,roylei,Royle's Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona rufescens,Lagomorpha,Ochotonidae,Ochotona,rufescens,Afghan Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona rutila,Lagomorpha,Ochotonidae,Ochotona,rutila,Turkestan Red Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona syrinx,Lagomorpha,Ochotonidae,Ochotona,syrinx,Qinling Pika ,NA,Diurnal,Imputed,NA,0,Imputed,,
Ochotona thibetana,Lagomorpha,Ochotonidae,Ochotona,thibetana,Moupin Pika,Diurnal,Diurnal,1,1,1,1,,
Ochotona thomasi,Lagomorpha,Ochotonidae,Ochotona,thomasi,Thomas's Pika,Diurnal,Diurnal,1,0,0,1,,
Ochotona turuchanensis,Lagomorpha,Ochotonidae,Ochotona,turuchanensis,Turuchan Pika,Diurnal,Diurnal,1,0,0,1,,
Ochrotomys nuttalli,Rodentia,Cricetidae,Ochrotomys,nuttalli,Golden Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Octodon bridgesi,Rodentia,Octodontidae,Octodon,bridgesi,Bridges's Degu,Nocturnal,Nocturnal,1,0,0,1,,
Octodon degus,Rodentia,Octodontidae,Octodon,degus,Degu,Diurnal,Diurnal,1,1,1,41,,
Octodon lunatus,Rodentia,Octodontidae,Octodon,lunatus,Moon-toothed Degu,Cathemeral,Cathemeral,1,1,1,1,,
Octodon pacificus,Rodentia,Octodontidae,Octodon,pacificus,Pacific degu,Diurnal,Diurnal,1,0,0,1,,
Octodontomys gliroides,Rodentia,Octodontidae,Octodontomys,gliroides,Mountain Degu,Nocturnal,Nocturnal,1,0,0,1,,
Octomys mimax,Rodentia,Octodontidae,Octomys,mimax,Viscacha Rat,Nocturnal,Nocturnal,1,0,0,1,,
Odocoileus hemionus,Cetartiodactyla,Cervidae,Odocoileus,hemionus,Mule Deer,Crepuscular,Crepuscular,1,1,1,42,,
Odocoileus virginianus,Cetartiodactyla,Cervidae,Odocoileus,virginianus,White-tailed Deer,Crepuscular,Crepuscular,1,1,1,42,,
Oecomys auyantepui,Rodentia,Cricetidae,Oecomys,auyantepui,Unknown,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys bicolor,Rodentia,Cricetidae,Oecomys,bicolor,Bicolored Arboreal Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oecomys catherinae,Rodentia,Cricetidae,Oecomys,catherinae,Atlantic forest arboreal rice rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys cleberi,Rodentia,Cricetidae,Oecomys,cleberi,Cleber's Arboreal Rice Rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys concolor,Rodentia,Cricetidae,Oecomys,concolor,Natterer's Oecomys,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys flavicans,Rodentia,Cricetidae,Oecomys,flavicans,Yellow Arboreal Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oecomys mamorae,Rodentia,Cricetidae,Oecomys,mamorae,Mamore Arboreal Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oecomys paricola,Rodentia,Cricetidae,Oecomys,paricola,Brazilian Arboreal Rice Rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys phaeotis,Rodentia,Cricetidae,Oecomys,phaeotis,Dusky Arboreal Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oecomys rex,Rodentia,Cricetidae,Oecomys,rex,King Arboreal Rice Rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys roberti,Rodentia,Cricetidae,Oecomys,roberti,Robert's Arboreal Rice Rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys rutilus,Rodentia,Cricetidae,Oecomys,rutilus,Red Arboreal Rice Rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oecomys speciosus,Rodentia,Cricetidae,Oecomys,speciosus,Arboreal Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oecomys superans,Rodentia,Cricetidae,Oecomys,superans,Foothill Arboreal Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oecomys trinitatis,Rodentia,Cricetidae,Oecomys,trinitatis,Long-furred Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oenomys hypoxanthus,Rodentia,Muridae,Oenomys,hypoxanthus,Rufous-nosed Rat,Cathemeral,Cathemeral,1,0,0,1,,
Oenomys ornatus,Rodentia,Muridae,Oenomys,ornatus,Ghana Rufous-nosed Rat,Cathemeral,Cathemeral,2,0,0,1,,
Okapia johnstoni,Cetartiodactyla,Giraffidae,Okapia,johnstoni,Okapi,Diurnal,Diurnal,1,0,0,1,,
Olallamys albicauda,Rodentia,Echimyidae,Olallamys,albicauda,White-tailed Olalla Rat,Nocturnal,Nocturnal,1,0,0,1,,
Olallamys edax,Rodentia,Echimyidae,Olallamys,edax,Greedy Olalla Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oligoryzomys andinus,Rodentia,Cricetidae,Oligoryzomys,andinus,Andean Pygmy Rice Rat,Nocturnal,Nocturnal,2,0,0,1,,
Oligoryzomys arenalis,Rodentia,Cricetidae,Oligoryzomys,arenalis,Sandy Pygmy Rice Rat,Nocturnal,Nocturnal,2,0,0,1,,
Oligoryzomys brendae,Rodentia,Cricetidae,Oligoryzomys,brendae,Brenda‚Äö?Ñ??‚àö?ë‚àö‚àÇ‚Äö?†??‚àö?´‚Äö?†??¬¨‚Ä¢s Colilargo,Nocturnal,Nocturnal,2,0,0,1,,
Oligoryzomys chacoensis,Rodentia,Cricetidae,Oligoryzomys,chacoensis,Chacoan Pygmy Rice Rat,Nocturnal,Nocturnal,1,1,1,1,,
Oligoryzomys delticola,Rodentia,Cricetidae,Oligoryzomys,delticola,Delta Pygmy Rice Rat,Nocturnal,Nocturnal,24,0,0,1,,
Oligoryzomys destructor,Rodentia,Cricetidae,Oligoryzomys,destructor,Destructive Pygmy Rice Rat,Nocturnal,Nocturnal,2,0,0,1,,
Oligoryzomys eliurus,Rodentia,Cricetidae,Oligoryzomys,eliurus,Brazilian Pygmy Rice Rat,Nocturnal,Nocturnal,24,0,0,1,,
Oligoryzomys flavescens,Rodentia,Cricetidae,Oligoryzomys,flavescens,Yellow Pygmy Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oligoryzomys fornesi,Rodentia,Cricetidae,Oligoryzomys,fornesi,Fornes' Colilargo,Nocturnal,Nocturnal,1,0,0,1,,
Oligoryzomys fulvescens,Rodentia,Cricetidae,Oligoryzomys,fulvescens,Fulvous Pygmy Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oligoryzomys griseolus,Rodentia,Cricetidae,Oligoryzomys,griseolus,Grayish Pygmy Rice Rat,Nocturnal,Nocturnal,2,0,0,1,,
Oligoryzomys longicaudatus,Rodentia,Cricetidae,Oligoryzomys,longicaudatus,Long-tailed Pygmy Rice Rat,Nocturnal,Nocturnal,1,1,1,1,,
Oligoryzomys magellanicus,Rodentia,Cricetidae,Oligoryzomys,magellanicus,Magellanic Pygmy Rice Rat,Nocturnal,Nocturnal,1,1,1,1,,
Oligoryzomys microtis,Rodentia,Cricetidae,Oligoryzomys,microtis,Small-eared Pygmy Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oligoryzomys moojeni,Rodentia,Cricetidae,Oligoryzomys,moojeni,Moojen's pygmy rice rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oligoryzomys nigripes,Rodentia,Cricetidae,Oligoryzomys,nigripes,Black-footed Pygmy Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oligoryzomys rupestris,Rodentia,Cricetidae,Oligoryzomys,rupestris,Highlands pygmy rice rat,NA,Nocturnal,Imputed,NA,0,Imputed,,
Oligoryzomys stramineus,Rodentia,Cricetidae,Oligoryzomys,stramineus,Straw-coloured pygmy rice rat,Nocturnal,Nocturnal,2,0,0,1,,
Oligoryzomys vegetus,Rodentia,Cricetidae,Oligoryzomys,vegetus,Sprightly Pygmy Rice Rat,Nocturnal,Nocturnal,2,0,0,1,,
Ondatra zibethicus,Rodentia,Cricetidae,Ondatra,zibethicus,Ondatra,Cathemeral,Cathemeral,1,0,0,1,,
Onychogalea fraenata,Diprotodontia,Macropodidae,Onychogalea,fraenata,Bridled Nailtail Wallaby,Nocturnal,Nocturnal,1,1,1,1,,
Onychogalea unguifera,Diprotodontia,Macropodidae,Onychogalea,unguifera,Northern Nailtail Wallaby,Nocturnal,Nocturnal,1,0,0,1,,
Onychomys arenicola,Rodentia,Cricetidae,Onychomys,arenicola,Chihuahuan Grasshopper Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Onychomys leucogaster,Rodentia,Cricetidae,Onychomys,leucogaster,Northern Grasshopper Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Onychomys torridus,Rodentia,Cricetidae,Onychomys,torridus,Southern Grasshopper Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Oreamnos americanus,Cetartiodactyla,Bovidae,Oreamnos,americanus,Mountain Goat,Cathemeral,Cathemeral,1,0,0,1,,
Oreonax flavicauda,Primates,Atelidae,Oreonax,flavicauda,Peruvian yellow-tailed woolly monkey,Diurnal,Diurnal,1,0,0,1,,
Oreoryzomys balneator,Rodentia,Cricetidae,Oreoryzomys,balneator,Peruvian Rice Rat,Nocturnal,Nocturnal,12,0,0,1,,
Oreotragus oreotragus,Cetartiodactyla,Bovidae,Oreotragus,oreotragus,Klipspringer,Diurnal,Diurnal,1,0,0,1,,
Ornithorhynchus anatinus,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Platypus,Nocturnal,Nocturnal,1,1,1,1,,
Orthogeomys cavator,Rodentia,Geomyidae,Orthogeomys,cavator,Chiriqui Pocket Gopher,Cathemeral,Cathemeral,1,0,0,1,,
Orthogeomys cuniculus,Rodentia,Geomyidae,Orthogeomys,cuniculus,Oaxacan Pocket Gopher,Cathemeral,Cathemeral,2,0,0,1,,
Orthogeomys heterodus,Rodentia,Geomyidae,Orthogeomys,heterodus,Variable Pocket Gopher,Cathemeral,Cathemeral,1,0,0,1,,
Orthogeomys hispidus,Rodentia,Geomyidae,Orthogeomys,hispidus,Hispid Pocket Gopher,Cathemeral,Cathemeral,1,0,0,1,,
Orthogeomys lanius,Rodentia,Geomyidae,Orthogeomys,lanius,Big pocket gopher,Cathemeral,Cathemeral,1,0,0,1,,
Orthogeomys underwoodi,Rodentia,Geomyidae,Orthogeomys,underwoodi,Underwood's Pocket Gopher,Cathemeral,Cathemeral,1,0,0,1,,
Orycteropus afer,Tubulidentata,Orycteropodidae,Orycteropus,afer,Aardvark,Nocturnal,Nocturnal,1,1,1,1,,
Oryctolagus cuniculus,Lagomorpha,Leporidae,Oryctolagus,cuniculus,European Rabbit,Nocturnal,Nocturnal,1,1,1,1,,
Oryx beisa,Cetartiodactyla,Bovidae,Oryx,beisa,Beisa Oryx,Cathemeral,Cathemeral,3,0,0,1,,
Oryx dammah,Cetartiodactyla,Bovidae,Oryx,dammah,Scimitar-horned Oryx,Cathemeral,Cathemeral,1,0,0,1,,
Oryx gazella,Cetartiodactyla,Bovidae,Oryx,gazella,Gemsbok,Cathemeral,Cathemeral,2,0,0,1,,
Oryx leucoryx,Cetartiodactyla,Bovidae,Oryx,leucoryx,Arabian Oryx,Cathemeral,Cathemeral,1,1,1,1,,
Oryzomys couesi,Rodentia,Cricetidae,Oryzomys,couesi,Coues's Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oryzomys curasoae,Rodentia,Cricetidae,Oryzomys,curasoae,Unknown,Cathemeral,Cathemeral,2,0,0,1,,
Oryzomys dimidiatus,Rodentia,Cricetidae,Oryzomys,dimidiatus,Thomas's Rice Rat,Cathemeral,Cathemeral,2,0,0,1,,
Oryzomys gorgasi,Rodentia,Cricetidae,Oryzomys,gorgasi,Unknown,Cathemeral,Cathemeral,2,0,0,1,,
Oryzomys palustris,Rodentia,Cricetidae,Oryzomys,palustris,Marsh Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Oryzorictes hova,Afrosoricida,Tenrecidae,Oryzorictes,hova,Mole-like Rice Tenrec,Nocturnal,Nocturnal,13,0,0,1,,
Oryzorictes tetradactylus,Afrosoricida,Tenrecidae,Oryzorictes,tetradactylus,Four-toed Rice Tenrec,Nocturnal,Nocturnal,13,0,0,1,,
Osgoodomys banderanus,Rodentia,Cricetidae,Osgoodomys,banderanus,Michoacan Deer Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Otocolobus manul,Carnivora,Felidae,Otocolobus,manul,Pallas's Cat,Crepuscular,Crepuscular,1,1,1,1,,
Otocyon megalotis,Carnivora,Canidae,Otocyon,megalotis,Bat-eared Fox,Nocturnal,Nocturnal,1,1,1,41,,
