Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Akodon budini,Rodentia,Cricetidae,Akodon,budini,Budin's Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon cursor,Rodentia,Cricetidae,Akodon,cursor,Cursor Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon dayi,Rodentia,Cricetidae,Akodon,dayi,Day's Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon dolores,Rodentia,Cricetidae,Akodon,dolores,C'rdoba Akodont,Nocturnal,Nocturnal,1,0,0,1,,
Akodon fumeus,Rodentia,Cricetidae,Akodon,fumeus,Smoky Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon iniscatus,Rodentia,Cricetidae,Akodon,iniscatus,Intelligent Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon juninensis,Rodentia,Cricetidae,Akodon,juninensis,Junin Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon kofordi,Rodentia,Cricetidae,Akodon,kofordi,Koford's Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon leucolimnaeus,Rodentia,Cricetidae,Akodon,leucolimnaeus,Unknown,Nocturnal,Nocturnal,1,1,1,1,,
Akodon lindberghi,Rodentia,Cricetidae,Akodon,lindberghi,Lindbergh's Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon lutescens,Rodentia,Cricetidae,Akodon,lutescens,Altiplano Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon mimus,Rodentia,Cricetidae,Akodon,mimus,Thespian Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon molinae,Rodentia,Cricetidae,Akodon,molinae,Molina's Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon mollis,Rodentia,Cricetidae,Akodon,mollis,Soft Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon montensis,Rodentia,Cricetidae,Akodon,montensis,Montane Akodont,Nocturnal,Nocturnal,1,1,1,1,,
