"Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2"
"Cervus elaphus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,"cathemeral/crepuscular",NA,"cathemeral/crepuscular","cathemeral/crepuscular",NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA
"Cervus nippon","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","nocturnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Choeropsis liberiensis","Hippopotamidae",NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA
"Connochaetes gnou","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA
"Connochaetes taurinus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,"diurnal/crepuscular","cathemeral/crepuscular","diurnal/crepuscular",NA,NA,"diurnal",NA,NA
"Dama dama","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","diurnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dama mesopotamica","Cervidae","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damaliscus lunatus","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damaliscus pygargus","Bovidae",NA,"diurnal",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dorcatragus megalotis","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
