"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Cephalorhynchus hectori","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral","cathemeral","cathemeral",4,"Cephalorhynchus_hectori"
"Delphinapterus leucas","Artiodactyla","Whippomorpha","Odontoceti","Monodontidae","diurnal","diurnal","diurnal",5,"Delphinapterus_leucas"
"Delphinus delphis","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Delphinus_delphis"
"Eschrichtius robustus","Artiodactyla","Whippomorpha","Mysticeti","Eschrichtiidae","cathemeral","cathemeral","cathemeral",5,"Eschrichtius_robustus"
"Eubalaena australis","Artiodactyla","Whippomorpha","Mysticeti","Balaenidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Eubalaena_australis"
"Eubalaena glacialis","Artiodactyla","Whippomorpha","Mysticeti","Balaenidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Eubalaena_glacialis"
"Eubalaena japonica","Artiodactyla","Whippomorpha","Mysticeti","Balaenidae","nocturnal","nocturnal","nocturnal",3,"Eubalaena_japonica"
"Feresa attenuata","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",4,"Feresa_attenuata"
"Globicephala macrorhynchus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",4,"Globicephala_macrorhynchus"
"Globicephala melas","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",4,"Globicephala_melas"
"Grampus griseus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Grampus_griseus"
"Hyperoodon ampullatus","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral",4,"Hyperoodon_ampullatus"
"Hyperoodon planifrons","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","diurnal/crepuscular","crepuscular","diurnal",3,"Hyperoodon_planifrons"
"Indopacetus pacificus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Indopacetus_pacificus"
"Inia geoffrensis","Artiodactyla","Whippomorpha","Odontoceti","Iniiae","cathemeral","cathemeral","cathemeral",5,"Inia_geoffrensis"
"Kogia breviceps","Artiodactyla","Whippomorpha","Odontoceti","Kogiidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Kogia_breviceps"
"Kogia sima","Artiodactyla","Whippomorpha","Odontoceti","Kogiidae","cathemeral","cathemeral","cathemeral",3,"Kogia_sima"
"Lagenodelphis hosei","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Lagenodelphis_hosei"
"Lagenorhynchus acutus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Lagenorhynchus_acutus"
"Lagenorhynchus albirostris","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Lagenorhynchus_albirostris"
"Lagenorhynchus obliquidens","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral/crepuscular","crepuscular","crepuscular",5,"Lagenorhynchus_obliquidens"
"Lagenorhynchus obscurus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Lagenorhynchus_obscurus"
"Lipotes vexillifer","Artiodactyla","Whippomorpha","Odontoceti","Lipotidae","diurnal","diurnal","diurnal",5,"Lipotes_vexillifer"
"Megaptera novaeangliae","Artiodactyla","Whippomorpha","Mysticeti","Balaenopteridae","cathemeral","cathemeral","cathemeral",4,"Megaptera_novaeangliae"
"Mesoplodon bidens","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral",4,"Mesoplodon_bidens"
"Mesoplodon densirostris","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral",4,"Mesoplodon_densirostris"
"Mesoplodon europaeus","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral",3,"Mesoplodon_europaeus"
"Mesoplodon ginkgodens","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","nocturnal","nocturnal","nocturnal",3,"Mesoplodon_ginkgodens"
"Mesoplodon hotaula","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","diurnal","diurnal","diurnal",3,"Mesoplodon_hotaula"
"Mesoplodon mirus","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","diurnal/crepuscular","crepuscular","diurnal",3,"Mesoplodon_mirus"
"Mesoplodon stejnegeri","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral",3,"Mesoplodon_stejnegeri"
"Monodon monoceros","Artiodactyla","Whippomorpha","Odontoceti","Monodontidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Monodon_monoceros"
"Neophocaena asiaeorientalis","Artiodactyla","Whippomorpha","Odontoceti","Phocoenidae","nocturnal/crepuscular","crepuscular","nocturnal",5,"Neophocaena_asiaeorientalis"
"Neophocaena phocaenoides","Artiodactyla","Whippomorpha","Odontoceti","Phocoenidae","nocturnal","nocturnal","nocturnal",3,"Neophocaena_phocaenoides"
"Neophocaena sunameri","Artiodactyla","Whippomorpha","Odontoceti","Phocoenidae","diurnal","diurnal","diurnal",3,"Neophocaena_sunameri"
"Orcaella brevirostris","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral","cathemeral","cathemeral",3,"Orcaella_brevirostris"
"Orcinus orca","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","diurnal","diurnal","diurnal",5,"Orcinus_orca"
"Peponocephala electra","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",5,"Peponocephala_electra"
"Phocoena phocoena","Artiodactyla","Whippomorpha","Odontoceti","Phocoenidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Phocoena_phocoena"
"Phocoena sinus","Artiodactyla","Whippomorpha","Odontoceti","Phocoenidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Phocoena_sinus"
"Phocoenoides dalli","Artiodactyla","Whippomorpha","Odontoceti","Phocoenidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Phocoenoides_dalli"
"Physeter macrocephalus","Artiodactyla","Whippomorpha","Odontoceti","Physeteridae","cathemeral","cathemeral","cathemeral",4,"Physeter_macrocephalus"
"Platanista gangetica","Artiodactyla","Whippomorpha","Odontoceti","Platanistidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Platanista_gangetica"
"Platanista minor","Artiodactyla","Whippomorpha","Odontoceti","Platanistidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Platanista_minor"
"Pontoporia blainvillei","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral","cathemeral","cathemeral",3,"Pontoporia_blainvillei"
"Pseudorca crassidens","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","diurnal","diurnal","diurnal",5,"Pseudorca_crassidens"
"Sotalia fluviatilis","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral","cathemeral","cathemeral",3,"Sotalia_fluviatilis"
"Sotalia guianensis","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral","cathemeral","cathemeral",3,"Sotalia_guianensis"
"Sousa chinensis","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Sousa_chinensis"
"Sousa plumbea","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Sousa_plumbea"
"Sousa teuszii","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Sousa_teuszii"
"Stenella attenuata","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Stenella_attenuata"
"Stenella coeruleoalba","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Stenella_coeruleoalba"
"Stenella frontalis","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",3,"Stenella_frontalis"
"Stenella longirostris","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal","nocturnal","nocturnal",4,"Stenella_longirostris"
"Steno bredanensis","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Steno_bredanensis"
"Tursiops aduncus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular","nocturnal",5,"Tursiops_aduncus"
"Tursiops truncatus","Artiodactyla","Whippomorpha","Odontoceti","Delphinidae","cathemeral/crepuscular","crepuscular","crepuscular",5,"Tursiops_truncatus"
"Ziphius cavirostris","Artiodactyla","Whippomorpha","Odontoceti","Ziphiidae","cathemeral","cathemeral","cathemeral",4,"Ziphius_cavirostris"
"Choeropsis liberiensis","Artiodactyla","Whippomorpha","non-cetacean","Hippopotamidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Choeropsis_liberiensis"
"Hippopotamus amphibius","Artiodactyla","Whippomorpha","non-cetacean","Hippopotamidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Hippopotamus_amphibius"
