"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Body_length","Body_mass","Dive_depth","Orbit_ratio","Diet","Habitat","Prey_capture","Brain_mass","Feeding_method","fam_colours"
"Mesoplodon_mirus","Odontoceti","Ziphiidae","diurnal/crepuscular","crepuscular",3,0,1180,939,29.517723,"cephalopods + fish","pelagic","Suction","2355","Suction/raptorial","green2"
"Mesoplodon_perrini","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,29.4837726,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_peruvianus","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,33.6134172742519,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_stejnegeri","Odontoceti","Ziphiidae","cathemeral","cathemeral",3,NA,NA,NA,31.0041710929118,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_traversii","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,NA,"cephalopods + fish","pelagic",NA,NA,"Suction","green2"
"Monodon_monoceros","Odontoceti","Monodontidae","cathemeral/crepuscular","crepuscular",4,4.8,1600,1400,20.8490333333333,"cephalopods + fish","coastal-pelagic","Suction","2996.7","Suction/raptorial","steelblue4"
"Neophocaena_asiaeorientalis","Odontoceti","Phocoenidae","nocturnal/crepuscular","crepuscular",5,0,NA,20,25.69165,"cephalopods + fish","coastal","Suction",NA,"Suction/raptorial","orange2"
"Neophocaena_phocaenoides","Odontoceti","Phocoenidae","nocturnal","nocturnal",3,0,32.4,20,NA,"cephalopods + fish","coastal",NA,"468","Raptorial","orange2"
"Orcaella_brevirostris","Odontoceti","Delphinidae","cathemeral","cathemeral",3,0,120.25,110,NA,"benthic invertebrates + fish","coastal",NA,NA,"Raptorial","grey"
"Orcaella_heinsohni","Odontoceti","Delphinidae","nocturnal","nocturnal",2,0,NA,30,26.43691,"benthic invertebrates + fish","coastal","Suction",NA,"Suction/raptorial","grey"
"Orcinus_orca","Odontoceti","Delphinidae","diurnal","diurnal",5,9.8,12616,768,20.0947,"tetrapods + fish","coastal-pelagic","Grip-and-Tear","4779.5","Raptorial","grey"
"Peponocephala_electra","Odontoceti","Delphinidae","nocturnal","nocturnal",5,0,223,472,27.285,"cephalopods + fish","pelagic","Suction",NA,"Suction/raptorial","grey"
