"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Alouatta belzebul","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_belzebul"
"Alouatta caraya","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_caraya"
"Alouatta guariba","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_guariba"
"Alouatta palliata","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_palliata"
"Alouatta pigra","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_pigra"
"Alouatta sara","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_sara"
"Alouatta seniculus","Primates","idk","non-cetacean","Atelidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alouatta_seniculus"
"Alticola argentatus","Rodentia","idk","non-cetacean","Cricetidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alticola_argentatus"
"Alticola stoliczkanus","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Alticola_stoliczkanus"
"Alticola strelzowi","Rodentia","idk","non-cetacean","Cricetidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alticola_strelzowi"
"Ammospermophilus harrisii","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_harrisii"
"Ammospermophilus harrisii","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_harrisii"
"Ammospermophilus interpres","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_interpres"
"Ammospermophilus interpres","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_interpres"
"Ammospermophilus leucurus","Rodentia","idk","non-cetacean","Sciuridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Ammospermophilus_leucurus"
