"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel_confidence","diel2","genome"
"103","aequidens pulcher","Andinoacara pulcher",FALSE,222797,TRUE,"",1,"Andinoacara_pulcher","Andinoacara","Cichlidae","Cichliformes","crepuscular/diurnal",5,"crepuscular",""
"104","aethaloperca rogaa","Aethaloperca rogaa",FALSE,730868,FALSE,"",1,"Aethaloperca_rogaa","Aethaloperca","Serranidae","Perciformes/Serranoidei","nocturnal",3,"nocturnal",""
"105","aetobatus narinari","Aetobatus narinari",FALSE,759551,FALSE,"",1,"Aetobatus_narinari","Aetobatus","Aetobatidae","Myliobatiformes","nocturnal",4,"nocturnal",""
"106","afurcagobius suppositus","Afurcagobius suppositus",FALSE,3637551,FALSE,"",1,"Afurcagobius_suppositus","Afurcagobius","Gobiidae","Gobiiformes","nocturnal",2,"nocturnal",""
"107","afurcagobius tamarensis","Afurcagobius tamarensis",FALSE,1000652,FALSE,"",1,"Afurcagobius_tamarensis","Afurcagobius","Gobiidae","Gobiiformes","nocturnal",2,"nocturnal",""
"108","ageneiosus inermis","Ageneiosus inermis",FALSE,1077781,FALSE,"",1,"Ageneiosus_inermis","Ageneiosus","Auchenipteridae","Siluriformes","diurnal",3,"diurnal",""
"109","ageneiosus pardalis","Ageneiosus pardalis",FALSE,3623505,FALSE,"",1,"Ageneiosus_pardalis","Ageneiosus","Auchenipteridae","Siluriformes","nocturnal",2,"nocturnal",""
"110","agoniates anchovia","Agoniates anchovia",FALSE,744026,FALSE,"",1,"Agoniates_anchovia","Agoniates","Triportheidae","Characiformes","crepuscular",2,"crepuscular",""
"111","agonomalus mozinoi","Agonomalus mozinoi",FALSE,3632026,FALSE,"",1,"Agonomalus_mozinoi","Agonomalus","Agonidae","Perciformes/Cottoidei","unclear",1,"unknown",""
"112","agonopsis chiloensis","Agonopsis chiloensis",FALSE,325753,FALSE,"",1,"Agonopsis_chiloensis","Agonopsis","Agonidae","Perciformes/Cottoidei","unclear",1,"unknown",""
"113","agonopsis vulsa","Agonopsis vulsa",FALSE,467091,FALSE,"",1,"Agonopsis_vulsa","Agonopsis","Agonidae","Perciformes/Cottoidei","nocturnal",2,"nocturnal",""
"114","ahlia egmontis","Ahlia egmontis",FALSE,706497,FALSE,"",1,"Ahlia_egmontis","Ahlia","Ophichthidae","Anguilliformes","diurnal",1,"diurnal",""
"115","ailia coila","Ailia coila",FALSE,583421,FALSE,"",1,"Ailia_coila","Ailia","Ailiidae","Siluriformes","nocturnal",1,"nocturnal",""
"116","akysis longifilis","Akysis longifilis",FALSE,119574,FALSE,"",1,"Akysis_longifilis","Akysis","Akysidae","Siluriformes","nocturnal",1,"nocturnal",""
"117","akysis portellus","Akysis portellus",FALSE,3623976,FALSE,"",1,"Akysis_portellus","Akysis","Akysidae","Siluriformes","nocturnal",1,"nocturnal",""
"118","albula esuncula","Albula esuncula",FALSE,373451,FALSE,"",1,"Albula_esuncula","Albula","Albulidae","Albuliformes","unclear",1,"unknown",""
"119","albula vulpes","Albula vulpes",FALSE,133398,FALSE,"",1,"Albula_vulpes","Albula","Albulidae","Albuliformes","diurnal",4,"diurnal",""
"120","alburnus alburnus","Alburnus alburnus",FALSE,957577,FALSE,"",1,"Alburnus_alburnus","Alburnus","Leuciscidae","Cypriniformes","diurnal",4,"diurnal",""
"121","aldrichetta forsteri","Aldrichetta forsteri",FALSE,127636,FALSE,"",1,"Aldrichetta_forsteri","Aldrichetta","Mugilidae","Mugiliformes","diurnal",3,"diurnal",""
"122","alectis alexandrina","Alectis alexandrina",FALSE,115540,FALSE,"",1,"Alectis_alexandrina","Alectis","Carangidae","Carangiformes","diurnal",1,"diurnal",""
"123","alectis ciliaris","Alectis ciliaris",FALSE,115537,FALSE,"",1,"Alectis_ciliaris","Alectis","Carangidae","Carangiformes","unclear",1,"unknown",""
"124","alepes djedaba","Alepes djedaba",FALSE,705020,FALSE,"",1,"Alepes_djedaba","Alepes","Carangidae","Carangiformes","diurnal",1,"diurnal",""
"125","alepisaurus ferox","Alepisaurus ferox",FALSE,587926,FALSE,"",1,"Alepisaurus_ferox","Alepisaurus","Alepisauridae","Aulopiformes","diurnal",2,"diurnal",""
"126","alepocephalus antipodianus","Alepocephalus antipodianus",FALSE,325758,FALSE,"",1,"Alepocephalus_antipodianus","Alepocephalus","Alepocephalidae","Alepocephaliformes","diurnal",2,"diurnal",""
"127","alepocephalus australis","Alepocephalus australis",FALSE,302327,FALSE,"",1,"Alepocephalus_australis","Alepocephalus","Alepocephalidae","Alepocephaliformes","diurnal",2,"diurnal",""
"128","alepocephalus rostratus","Alepocephalus rostratus",FALSE,230192,FALSE,"",1,"Alepocephalus_rostratus","Alepocephalus","Alepocephalidae","Alepocephaliformes","crepuscular",2,"crepuscular",""
"129","alestes baremoze","Alestes baremoze",FALSE,43910,FALSE,"",1,"Alestes_baremoze","Alestes","Alestidae","Characiformes","diurnal",2,"diurnal",""
