"","Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2","tabulated_diel"
"110","Litocranius walleri","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"111","Madoqua guentheri","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"112","Madoqua kirkii","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"113","Madoqua piacentinii","Bovidae","diurnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"114","Madoqua saltiana","Bovidae",NA,NA,"unclear/crepuscular",NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,"nocturnal/crepuscular"
"115","Mazama americana","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal/crepuscular","nocturnal","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"116","Mazama bororo","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"117","Mazama bricenii","Cervidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"118","Mazama chunyi","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"119","Mazama gouazoubira","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","cathemeral/crepuscular","cathemeral/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"120","Mazama nana","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"121","Mazama nemorivaga","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"122","Mazama pandora","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"123","Mazama rufina","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"124","Mazama temama","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"125","Moschiola indica","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"126","Moschiola kathygre","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"127","Moschiola meminna","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"128","Moschus anhuiensis","Moschidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"129","Moschus berezovskii","Moschidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"130","Moschus chrysogaster","Moschidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"131","Moschus cupreus","Moschidae",NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"132","Moschus fuscus","Moschidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"133","Moschus leucogaster","Moschidae",NA,"nocturnal/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"134","Moschus moschiferus","Moschidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"135","Muntiacus atherodes","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"136","Muntiacus crinifrons","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"137","Muntiacus feae","Cervidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"138","Muntiacus gongshanensis","Cervidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"139","Muntiacus muntjak","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular","diurnal/crepuscular","diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"140","Muntiacus reevesi","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"141","Muntiacus vaginalis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"142","Muntiacus vuquangensis","Cervidae",NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"143","Naemorhedus baileyi","Bovidae","diurnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"144","Naemorhedus caudatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"145","Naemorhedus goral","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"146","Naemorhedus griseus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"147","Nanger dama","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"148","Nanger granti","Bovidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"149","Nanger soemmerringii","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"150","Neotragus batesi","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"151","Neotragus pygmaeus","Bovidae",NA,NA,"nocturnal",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"152","Nesotragus moschatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"153","Nilgiritragus hylocrius","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"154","Odocoileus hemionus","Cervidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,"cathemeral/crepuscular","nocturnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"155","Odocoileus virginianus","Cervidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","diurnal/crepuscular",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"cathemeral/crepuscular"
"156","Okapia johnstoni","Giraffidae",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"diurnal","diurnal",NA,"diurnal"
"157","Oreamnos americanus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"158","Oreotragus oreotragus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"159","Oryx beisa","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"160","Oryx dammah","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"161","Oryx gazella","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"162","Oryx leucoryx","Bovidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","cathemeral/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"163","Ourebia ourebi","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular","unclear/crepuscular",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"164","Ovibos moschatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"165","Ovis ammon","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"166","Ovis aries","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"167","Ovis canadensis","Bovidae",NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"168","Ovis dalli","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"169","Ovis gmelini","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"170","Ovis nivicola","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"171","Ovis orientalis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"172","Ozotoceros bezoarticus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"173","Pantholops hodgsonii","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"174","Pecari tajacu","Tayassuidae",NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,"diurnal","diurnal/crepuscular",NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular"
"175","Pelea capreolus","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"176","Phacochoerus aethiopicus","Suidae",NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"177","Phacochoerus africanus","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"178","Philantomba maxwellii","Bovidae",NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"179","Philantomba monticola","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal/crepuscular","diurnal/crepuscular",NA,"cathemeral/crepuscular","diurnal",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,"diurnal/crepuscular"
"180","Philantomba walteri","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"181","Porcula salvania","Suidae",NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"182","Potamochoerus larvatus","Suidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"183","Potamochoerus porcus","Suidae",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal",NA,NA,NA,"nocturnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"184","Procapra gutturosa","Bovidae","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"185","Procapra picticaudata","Bovidae",NA,"diurnal/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"186","Procapra przewalskii","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"187","Pseudois nayaur","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"188","Pseudoryx nghetinhensis","Bovidae",NA,"diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,"cathemeral/crepuscular"
"189","Pudu mephistophiles","Cervidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"190","Pudu puda","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"191","Rangifer tarandus","Cervidae",NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular","cathemeral",NA,NA,NA,NA,NA,"cathemeral","cathemeral/crepuscular"
"192","Raphicerus campestris","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"193","Raphicerus melanotis","Bovidae","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"194","Raphicerus sharpei","Bovidae","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"195","Redunca arundinum","Bovidae","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"196","Redunca fulvorufula","Bovidae",NA,NA,"diurnal/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"197","Redunca redunca","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"198","Rucervus duvaucelii","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"199","Rucervus eldii","Cervidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"200","Rupicapra pyrenaica","Bovidae",NA,NA,NA,NA,NA,"unclear/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"201","Rupicapra rupicapra","Bovidae",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular","diurnal",NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"202","Rusa alfredi","Cervidae","nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"203","Rusa marianna","Cervidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"204","Rusa timorensis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"205","Rusa unicolor","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"206","Saiga tatarica","Bovidae","diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"207","Sus ahoenobarbus","Suidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"208","Sus barbatus","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"209","Sus cebifrons","Suidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"210","Sus celebensis","Suidae","nocturnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"211","Sus oliveri","Suidae","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"212","Sus philippensis","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"213","Sus scrofa","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral","nocturnal","nocturnal","nocturnal","diurnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"214","Sus verrucosus","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"215","Sylvicapra grimmia","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"216","Syncerus caffer","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"nocturnal","nocturnal/crepuscular","nocturnal","nocturnal/crepuscular",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"217","Tayassu pecari","Tayassuidae",NA,NA,NA,"nocturnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"218","Tetracerus quadricornis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"219","Tragelaphus angasii","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"220","Tragelaphus buxtoni","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"221","Tragelaphus derbianus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"222","Tragelaphus eurycerus","Bovidae",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
