"","Species_name","Family","Order","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_2","Diel_Pattern_4","Confidence","tips"
"Muntiacus_vuquangensis","Muntiacus vuquangensis","Cervidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Muntiacus_vuquangensis"
"Neotragus_batesi","Neotragus batesi","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Neotragus_batesi"
"Nesotragus_moschatus","Nesotragus moschatus","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Nesotragus_moschatus"
"Philantomba_monticola","Philantomba monticola","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Philantomba_monticola"
"Rusa_unicolor","Rusa unicolor","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Rusa_unicolor"
"Sus_barbatus","Sus barbatus","Suidae","Suina","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Sus_barbatus"
"Sus_scrofa","Sus scrofa","Suidae","Suina","nocturnal","nocturnal","nocturnal","nocturnal","3","Sus_scrofa"
"Sylvicapra_grimmia","Sylvicapra grimmia","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Sylvicapra_grimmia"
"Tragulus_napu","Tragulus napu","Tragulidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Tragulus_napu"
"Alces_alces","Alces alces","Cervidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Alces_alces"
"Ammotragus_lervia","Ammotragus lervia","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Ammotragus_lervia"
"Bison_bison","Bison bison","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Bison_bison"
"Blastocerus_dichotomus","Blastocerus dichotomus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Blastocerus_dichotomus"
"Bos_gaurus","Bos gaurus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Bos_gaurus"
"Bubalis_bubalis","Bubalis bubalis","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Bubalis_bubalis"
"Budorcas_taxicolor","Budorcas taxicolor","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Budorcas_taxicolor"
"Capra_nubiana","Capra nubiana","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Capra_nubiana"
"Capra_sibirica","Capra sibirica","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Capra_sibirica"
"Capreolus_pygargus","Capreolus pygargus","Cervidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Capreolus_pygargus"
"Capricornis_crispus","Capricornis crispus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Capricornis_crispus"
"Capricornis_rubidus","Capricornis rubidus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Capricornis_rubidus"
"Capricornis_thar","Capricornis thar","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Capricornis_thar"
"Cephalophus_adersi","Cephalophus adersi","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Cephalophus_adersi"
"Cephalophus_rufilatus","Cephalophus rufilatus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Cephalophus_rufilatus"
"Cephalophus_spadix","Cephalophus spadix","Bovidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Cephalophus_spadix"
"Cephalophus_weynsi","Cephalophus weynsi","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Cephalophus_weynsi"
"Elaphodus_cephalophus","Elaphodus cephalophus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Elaphodus_cephalophus"
"Eudorcas_albonotata","Eudorcas albonotata","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Eudorcas_albonotata"
"Eudorcas_rufifrons","Eudorcas rufifrons","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Eudorcas_rufifrons"
"Eudorcas_thomsonii","Eudorcas thomsonii","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Eudorcas_thomsonii"
"Gazella_leptoceros","Gazella leptoceros","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Gazella_leptoceros"
"Hippocamelus_antisensis","Hippocamelus antisensis","Cervidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Hippocamelus_antisensis"
"Ovis_canadensis","Ovis canadensis","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Ovis_canadensis"
"Alcelaphus_buselaphus","Alcelaphus buselaphus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Alcelaphus_buselaphus"
"Antidorcas_marsupialis","Antidorcas marsupialis","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Antidorcas_marsupialis"
"Mazama_bororo","Mazama bororo","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Mazama_bororo"
"Mazama_chunyi","Mazama chunyi","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Mazama_chunyi"
"Antilope_cervicapra","Antilope cervicapra","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Antilope_cervicapra"
"Mazama_nana","Mazama nana","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Mazama_nana"
"Mazama_nemorivaga","Mazama nemorivaga","Cervidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Mazama_nemorivaga"
"Mazama_pandora","Mazama pandora","Cervidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Mazama_pandora"
"Beatragus_hunteri","Beatragus hunteri","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Beatragus_hunteri"
"Mazama_temama","Mazama temama","Cervidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Mazama_temama"
"Moschiola_indica","Moschiola indica","Tragulidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Moschiola_indica"
"Moschiola_kathygre","Moschiola kathygre","Tragulidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Moschiola_kathygre"
"Moschiola_meminna","Moschiola meminna","Tragulidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Moschiola_meminna"
"Moschus_berezovskii","Moschus berezovskii","Moschidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Moschus_berezovskii"
"Moschus_chrysogaster","Moschus chrysogaster","Moschidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Moschus_chrysogaster"
"Muntiacus_atherodes","Muntiacus atherodes","Cervidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Muntiacus_atherodes"
"Muntiacus_crinifrons","Muntiacus crinifrons","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Muntiacus_crinifrons"
"Hydropotes_inermis","Hydropotes inermis","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Hydropotes_inermis"
"Muntiacus_reevesi","Muntiacus reevesi","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Muntiacus_reevesi"
"Muntiacus_vaginalis","Muntiacus vaginalis","Cervidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Muntiacus_vaginalis"
"Kobus_kob","Kobus kob","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Kobus_kob"
"Naemorhedus_caudatus","Naemorhedus caudatus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Naemorhedus_caudatus"
"Naemorhedus_goral","Naemorhedus goral","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Naemorhedus_goral"
"Naemorhedus_griseus","Naemorhedus griseus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Naemorhedus_griseus"
"Nanger_dama","Nanger dama","Bovidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Nanger_dama"
"Neotragus_pygmaeus","Neotragus pygmaeus","Bovidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","4","Neotragus_pygmaeus"
"Redunca_fulvorufula","Redunca fulvorufula","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Redunca_fulvorufula"
"Oreotragus_oreotragus","Oreotragus oreotragus","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Oreotragus_oreotragus"
"Oryx_dammah","Oryx dammah","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Oryx_dammah"
"Aepyceros_melampus","Aepyceros melampus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Aepyceros_melampus"
"Ovis_aries","Ovis aries","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Ovis_aries"
"Capricornis_sumatraensis","Capricornis sumatraensis","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","4","Capricornis_sumatraensis"
"Cephalophus_jentinki","Cephalophus jentinki","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Cephalophus_jentinki"
"Phacochoerus_africanus","Phacochoerus africanus","Suidae","Suina","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Phacochoerus_africanus"
"Cephalophus_niger","Cephalophus niger","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Cephalophus_niger"
"Philantomba_walteri","Philantomba walteri","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Philantomba_walteri"
"Cephalophus_zebra","Cephalophus zebra","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Cephalophus_zebra"
"Pudu_puda","Pudu puda","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Pudu_puda"
"Raphicerus_campestris","Raphicerus campestris","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Raphicerus_campestris"
"Redunca_redunca","Redunca redunca","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Redunca_redunca"
"Rusa_timorensis","Rusa timorensis","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Rusa_timorensis"
"Connochaetes_gnou","Connochaetes gnou","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Connochaetes_gnou"
"Gazella_dorcas","Gazella dorcas","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Gazella_dorcas"
"Sus_philippensis","Sus philippensis","Suidae","Suina","nocturnal","nocturnal","nocturnal","nocturnal","3","Sus_philippensis"
"Hippotragus_niger","Hippotragus niger","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Hippotragus_niger"
"Sus_verrucosus","Sus verrucosus","Suidae","Suina",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Sus_verrucosus"
"Hyemoschus_aquaticus","Hyemoschus aquaticus","Tragulidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","4","Hyemoschus_aquaticus"
"Tetracerus_quadricornis","Tetracerus quadricornis","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Tetracerus_quadricornis"
"Tragelaphus_angasii","Tragelaphus angasii","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Tragelaphus_angasii"
"Tragelaphus_derbianus","Tragelaphus derbianus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Tragelaphus_derbianus"
"Madoqua_kirkii","Madoqua kirkii","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Madoqua_kirkii"
"Odocoileus_virginianus","Odocoileus virginianus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Odocoileus_virginianus"
"Tragelaphus_strepsiceros","Tragelaphus strepsiceros","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Tragelaphus_strepsiceros"
"Oreamnos_americanus","Oreamnos americanus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Oreamnos_americanus"
"Tragulus_versicolor","Tragulus versicolor","Tragulidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Tragulus_versicolor"
"Tragulus_williamsoni","Tragulus williamsoni","Tragulidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Tragulus_williamsoni"
"Oryx_gazella","Oryx gazella","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Oryx_gazella"
"Ovis_dalli","Ovis dalli","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","4","Ovis_dalli"
"Philantomba_maxwellii","Philantomba maxwellii","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Philantomba_maxwellii"
"Cephalophus_crusalbum","Cephalophus crusalbum","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Cephalophus_crusalbum"
"Cervus_hanglu","Cervus hanglu","Cervidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Cervus_hanglu"
"Potamochoerus_porcus","Potamochoerus porcus","Suidae","Suina","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Potamochoerus_porcus"
"Dama_mesopotamica","Dama mesopotamica","Cervidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Dama_mesopotamica"
"Tayassu_pecari","Tayassu pecari","Tayassuidae","Suina","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Tayassu_pecari"
"Damaliscus_lunatus","Damaliscus lunatus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Damaliscus_lunatus"
"Tragelaphus_oryx","Tragelaphus oryx","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Tragelaphus_oryx"
