"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"13","abudefduf troschelii","Abudefduf troschelii",FALSE,961357,FALSE,"incertae_sedis_inherited",1,"Abudefduf_troschelii","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",2,"",""
"14","abudefduf vaigiensis","Abudefduf vaigiensis",FALSE,1053067,FALSE,"incertae_sedis_inherited",1,"Abudefduf_vaigiensis","Abudefduf","Pomacentridae","Ovalentaria/misc","crepuscular/diurnal","crepuscular",1,"",""
"15","abudefduf whitleyi","Abudefduf whitleyi",FALSE,893458,FALSE,"incertae_sedis_inherited",1,"Abudefduf_whitleyi","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",2,"",""
"16","acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",FALSE,3631291,FALSE,"",1,"Acanthaluteres_spilomelanurus","Acanthaluteres","Monacanthidae","Tetraodontiformes","diurnal","diurnal",2,"",""
"17","acantharchus pomotis","Acantharchus pomotis",FALSE,476356,FALSE,"",1,"Acantharchus_pomotis","Acantharchus","Centrarchidae","Centrarchiformes","nocturnal","nocturnal",1,"","NEW_SPECIES"
"18","acanthemblemaria aspera","Acanthemblemaria aspera",FALSE,628677,FALSE,"",1,"Acanthemblemaria_aspera","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"19","acanthemblemaria atrata","Acanthemblemaria atrata",FALSE,3639191,FALSE,"",1,"Acanthemblemaria_atrata","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"20","acanthemblemaria balanorum","Acanthemblemaria balanorum",FALSE,516024,FALSE,"",1,"Acanthemblemaria_balanorum","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"21","acanthemblemaria castroi","Acanthemblemaria castroi",FALSE,630202,FALSE,"",1,"Acanthemblemaria_castroi","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"22","acanthemblemaria chaplini","Acanthemblemaria chaplini",FALSE,630211,FALSE,"",1,"Acanthemblemaria_chaplini","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"23","acanthemblemaria crockeri","Acanthemblemaria crockeri",FALSE,628674,FALSE,"",1,"Acanthemblemaria_crockeri","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"24","acanthemblemaria exilispinus","Acanthemblemaria exilispinus",FALSE,630208,FALSE,"",1,"Acanthemblemaria_exilispinus","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"A",""
"25","acanthemblemaria greenfieldi","Acanthemblemaria greenfieldi",FALSE,57337,FALSE,"",1,"Acanthemblemaria_greenfieldi","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"26","acanthemblemaria hancocki","Acanthemblemaria hancocki",FALSE,57340,FALSE,"",1,"Acanthemblemaria_hancocki","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"27","acanthemblemaria harpeza","Acanthemblemaria harpeza",FALSE,3639192,FALSE,"",1,"Acanthemblemaria_harpeza","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"28","acanthemblemaria johnsoni","Acanthemblemaria johnsoni",FALSE,3639195,FALSE,"",1,"Acanthemblemaria_johnsoni","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"29","acanthemblemaria macrospilus","Acanthemblemaria macrospilus",FALSE,40125,FALSE,"",1,"Acanthemblemaria_macrospilus","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"30","acanthemblemaria mangognatha","Acanthemblemaria mangognatha",FALSE,3639193,FALSE,"",1,"Acanthemblemaria_mangognatha","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"31","acanthemblemaria maria","Acanthemblemaria maria",FALSE,516027,FALSE,"",1,"Acanthemblemaria_maria","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"32","acanthemblemaria medusa","Acanthemblemaria medusa",FALSE,516020,FALSE,"",1,"Acanthemblemaria_medusa","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"33","acanthemblemaria paula","Acanthemblemaria paula",FALSE,455119,FALSE,"",1,"Acanthemblemaria_paula","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"34","acanthemblemaria spinosa","Acanthemblemaria spinosa",FALSE,57346,FALSE,"",1,"Acanthemblemaria_spinosa","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",3,"",""
"35","acanthemblemaria stephensi","Acanthemblemaria stephensi",FALSE,3639194,FALSE,"",1,"Acanthemblemaria_stephensi","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"36","acanthistius brasilianus","Acanthistius brasilianus",FALSE,658571,FALSE,"",1,"Acanthistius_brasilianus","Acanthistius","Serranidae","Perciformes/Serranoidei","nocturnal","nocturnal",2,"",""
"37","acanthistius patachonicus","Acanthistius patachonicus",FALSE,90309,FALSE,"",1,"Acanthistius_patachonicus","Acanthistius","Serranidae","Perciformes/Serranoidei","diurnal","diurnal",1,"",""
"38","acanthistius pictus","Acanthistius pictus",FALSE,3634017,FALSE,"",1,"Acanthistius_pictus","Acanthistius","Serranidae","Perciformes/Serranoidei","nocturnal","nocturnal",1,"",""
"39","acanthistius sebastoides","Acanthistius sebastoides",FALSE,3634021,FALSE,"",1,"Acanthistius_sebastoides","Acanthistius","Serranidae","Perciformes/Serranoidei","diurnal","diurnal",1,"",""
"40","acanthobrama terraesanctae","Mirogrex terraesanctae",FALSE,650768,TRUE,"",1,"Mirogrex_terraesanctae","Mirogrex","Leuciscidae","Cypriniformes","crepuscular/nocturnal","crepuscular",1,"","NEW_SPECIES"
"41","acanthochromis polyacanthus","Acanthochromis polyacanthus",FALSE,100410,FALSE,"incertae_sedis_inherited",1,"Acanthochromis_polyacanthus","Acanthochromis","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"ENSEMBL, GCF 002109545.1",""
"42","acanthocobitis botia","Acanthocobitis botia",FALSE,201101,FALSE,"",1,"Acanthocobitis_botia","Acanthocobitis","Nemacheilidae","Cypriniformes","nocturnal","nocturnal",1,"",""
"43","acanthocybium solandri","Acanthocybium solandri",FALSE,828095,FALSE,"extinct",1,"Acanthocybium_solandri","Acanthocybium","Scombridae","Scombriformes","diurnal","diurnal",3,"","HIGHER_CONF"
"44","acanthodoras cataphractus","Acanthodoras cataphractus",FALSE,216717,FALSE,"",1,"Acanthodoras_cataphractus","Acanthodoras","Doradidae","Siluriformes","crepuscular/nocturnal","crepuscular",4,"","HIGHER_CONF"
"45","acanthogobius flavimanus","Acanthogobius flavimanus",FALSE,705150,FALSE,"",1,"Acanthogobius_flavimanus","Acanthogobius","Gobiidae","Gobiiformes","nocturnal","nocturnal",3,"",""
"46","acantholabrus palloni","Acantholabrus palloni",FALSE,155280,FALSE,"",1,"Acantholabrus_palloni","Acantholabrus","Labridae","Eupercaria/misc","diurnal","diurnal",1,"",""
"47","acanthopagrus australis","Acanthopagrus australis",FALSE,223216,FALSE,"",1,"Acanthopagrus_australis","Acanthopagrus","Sparidae","Eupercaria/misc","diurnal","diurnal",4,"",""
"48","acanthopagrus berda","Acanthopagrus berda",FALSE,889379,FALSE,"",1,"Acanthopagrus_berda","Acanthopagrus","Sparidae","Eupercaria/misc","nocturnal","nocturnal",2,"","NEW_SPECIES"
"49","acanthopagrus bifasciatus","Acanthopagrus bifasciatus",FALSE,458567,FALSE,"",1,"Acanthopagrus_bifasciatus","Acanthopagrus","Sparidae","Eupercaria/misc","crepuscular/diurnal","crepuscular",3,"",""
"50","acanthopagrus butcheri","Acanthopagrus butcheri",FALSE,760738,FALSE,"",1,"Acanthopagrus_butcheri","Acanthopagrus","Sparidae","Eupercaria/misc","unclear","unknown",3,"",""
"51","acanthopagrus latus","Acanthopagrus latus",FALSE,760733,FALSE,"",1,"Acanthopagrus_latus","Acanthopagrus","Sparidae","Eupercaria/misc","nocturnal","nocturnal",2,"",""
"52","acanthopagrus schlegelii","Acanthopagrus schlegelii",FALSE,380194,FALSE,"",1,"Acanthopagrus_schlegelii","Acanthopagrus","Sparidae","Eupercaria/misc","diurnal","diurnal",4,"","HIGHER_CONF"
"53","acanthostracion guineensis","Acanthostracion guineensis",FALSE,5342884,FALSE,"",1,"Acanthostracion_guineensis",NA,NA,NA,"diurnal","diurnal",1,"",""
"54","acanthostracion notacanthus","Acanthostracion notacanthus",FALSE,3631409,FALSE,"",1,"Acanthostracion_notacanthus","Acanthostracion","Ostraciidae","Tetraodontiformes","diurnal","diurnal",1,"",""
"55","acanthostracion polygonius","Acanthostracion polygonius",FALSE,333678,FALSE,"",1,"Acanthostracion_polygonius","Acanthostracion","Ostraciidae","Tetraodontiformes","diurnal","diurnal",1,"",""
"56","acanthostracion quadricornis","Acanthostracion quadricornis",FALSE,179259,FALSE,"",1,"Acanthostracion_quadricornis","Acanthostracion","Ostraciidae","Tetraodontiformes","unclear","unknown",2,"",""
"57","acanthurus achilles","Acanthurus achilles",FALSE,347408,FALSE,"",1,"Acanthurus_achilles","Acanthurus","Acanthuridae","Acanthuriformes","crepuscular/diurnal","crepuscular",4,"","HIGHER_CONF"
"58","acanthurus bahianus","Acanthurus bahianus",FALSE,324280,FALSE,"",1,"Acanthurus_bahianus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",3,"","HIGHER_CONF"
"59","acanthurus blochii","Acanthurus blochii",FALSE,1035639,FALSE,"",1,"Acanthurus_blochii","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"60","acanthurus chirurgus","Acanthurus chirurgus",FALSE,737834,FALSE,"",1,"Acanthurus_chirurgus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",3,"",""
"61","acanthurus coeruleus","Acanthurus coeruleus",FALSE,324283,FALSE,"",1,"Acanthurus_coeruleus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"62","acanthurus guttatus","Acanthurus guttatus",FALSE,824727,FALSE,"",2,"Acanthurus_guttatus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"63","acanthurus leucocheilus","Acanthurus leucocheilus",FALSE,4135122,FALSE,"",1,"Acanthurus_leucocheilus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"64","acanthurus leucopareius","Acanthurus leucopareius",FALSE,4948804,FALSE,"",1,"Acanthurus_leucopareius","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",4,"","HIGHER_CONF"
"65","acanthurus lineatus","Acanthurus lineatus",FALSE,93141,FALSE,"",1,"Acanthurus_lineatus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",3,"","HIGHER_CONF"
"66","acanthurus maculiceps","Acanthurus maculiceps",FALSE,4948808,FALSE,"",1,"Acanthurus_maculiceps","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"67","acanthurus mata","Acanthurus mata",FALSE,467310,FALSE,"",1,"Acanthurus_mata","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"68","acanthurus monroviae","Acanthurus monroviae",FALSE,410350,FALSE,"",1,"Acanthurus_monroviae","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",1,"",""
"69","acanthurus nigricans","Acanthurus nigricans",FALSE,467313,FALSE,"",1,"Acanthurus_nigricans","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",4,"",""
"70","acanthurus nigricauda","Acanthurus nigricauda",FALSE,347377,FALSE,"",1,"Acanthurus_nigricauda","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",3,"",""
"71","acanthurus nigrofuscus","Acanthurus nigrofuscus",FALSE,605289,FALSE,"",1,"Acanthurus_nigrofuscus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",4,"","HIGHER_CONF"
"72","acanthurus olivaceus","Acanthurus olivaceus",FALSE,1035648,FALSE,"",1,"Acanthurus_olivaceus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",3,"","HIGHER_CONF"
"73","acanthurus thompsoni","Acanthurus thompsoni",FALSE,467297,FALSE,"",1,"Acanthurus_thompsoni","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",3,"",""
"74","acanthurus tractus","Acanthurus tractus",FALSE,4135120,FALSE,"",2,"Acanthurus_tractus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",1,"",""
"75","acanthurus triostegus","Acanthurus triostegus",FALSE,467300,FALSE,"",1,"Acanthurus_triostegus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"76","acanthurus xanthopterus","Acanthurus xanthopterus",FALSE,824720,FALSE,"",1,"Acanthurus_xanthopterus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal","diurnal",2,"",""
"77","acaronia nassa","Acaronia nassa",FALSE,170137,FALSE,"",1,"Acaronia_nassa","Acaronia","Cichlidae","Cichliformes","diurnal","diurnal",2,"",""
"78","acentrogobius pflaumii","Acentrogobius pflaumii",FALSE,423833,FALSE,"",1,"Acentrogobius_pflaumii","Acentrogobius","Gobiidae","Gobiiformes","nocturnal","nocturnal",1,"",""
"79","acentronichthys leptos","Acentronichthys leptos",FALSE,1018972,FALSE,"",1,"Acentronichthys_leptos","Acentronichthys","Heptapteridae","Siluriformes","nocturnal","nocturnal",2,"",""
"80","acestrocephalus ginesi","Acestrocephalus sardina",FALSE,48215,TRUE,"",1,"Acestrocephalus_sardina","Acestrocephalus","Characidae","Characiformes","nocturnal","nocturnal",2,"",""
"81","acestrorhynchus altus","Acestrorhynchus altus",FALSE,845247,FALSE,"",1,"Acestrorhynchus_altus","Acestrorhynchus","Acestrorhynchidae","Characiformes","diurnal","diurnal",3,"",""
"82","acestrorhynchus falcatus","Acestrorhynchus falcatus",FALSE,845253,FALSE,"",1,"Acestrorhynchus_falcatus","Acestrorhynchus","Acestrorhynchidae","Characiformes","crepuscular/diurnal","crepuscular",4,"","NEW_SPECIES"
"83","acestrorhynchus falcirostris","Acestrorhynchus falcirostris",FALSE,512072,FALSE,"",1,"Acestrorhynchus_falcirostris","Acestrorhynchus","Acestrorhynchidae","Characiformes","crepuscular","crepuscular",2,"",""
"84","acestrorhynchus grandoculis","Acestrorhynchus grandoculis",FALSE,270832,FALSE,"",1,"Acestrorhynchus_grandoculis","Acestrorhynchus","Acestrorhynchidae","Characiformes","nocturnal","nocturnal",2,"",""
"85","acestrorhynchus microlepis","Acestrorhynchus microlepis",FALSE,1035041,FALSE,"",1,"Acestrorhynchus_microlepis","Acestrorhynchus","Acestrorhynchidae","Characiformes","nocturnal","nocturnal",2,"",""
"86","acestrorhynchus minimus","Acestrorhynchus minimus",FALSE,512091,FALSE,"",1,"Acestrorhynchus_minimus","Acestrorhynchus","Acestrorhynchidae","Characiformes","nocturnal","nocturnal",2,"",""
"87","acheilognathus melanogaster","Acheilognathus melanogaster",FALSE,81090,FALSE,"",1,"Acheilognathus_melanogaster","Acheilognathus","Acheilognathidae","Cypriniformes","diurnal","diurnal",2,"",""
"88","achirus lineatus","Achirus lineatus",FALSE,153494,FALSE,"",1,"Achirus_lineatus","Achirus","Achiridae","Pleuronectiformes","nocturnal","nocturnal",1,"",""
"89","achoerodus gouldii","Achoerodus gouldii",FALSE,3636639,FALSE,"",1,"Achoerodus_gouldii","Achoerodus","Labridae","Eupercaria/misc","diurnal","diurnal",4,"","NEW_SPECIES"
"90","achoerodus viridis","Achoerodus viridis",FALSE,372280,FALSE,"",1,"Achoerodus_viridis","Achoerodus","Labridae","Eupercaria/misc","crepuscular/diurnal","crepuscular",4,"","NEW_SPECIES"
"91","achondrostoma arcasii","Achondrostoma arcasii",FALSE,262117,FALSE,"",1,"Achondrostoma_arcasii","Achondrostoma","Leuciscidae","Cypriniformes","unclear","unknown",3,"",""
"92","acipenser baeri","Acipenser baerii",FALSE,518827,TRUE,"",1,"Acipenser_baerii","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",3,"",""
"93","acipenser brevirostrum","Acipenser brevirostrum",FALSE,82746,FALSE,"",1,"Acipenser_brevirostrum","Acipenser","Acipenseridae","Acipenseriformes","diurnal","diurnal",3,"",""
"94","acipenser fulvescens","Acipenser fulvescens",FALSE,698270,FALSE,"",1,"Acipenser_fulvescens","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",5,"",""
"95","acipenser gueldenstaedtii","Acipenser gueldenstaedtii",FALSE,378912,FALSE,"",1,"Acipenser_gueldenstaedtii","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",5,"",""
"96","acipenser medirostris","Acipenser medirostris",FALSE,378900,FALSE,"",1,"Acipenser_medirostris","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",2,"",""
"97","acipenser nudiventris","Acipenser nudiventris",FALSE,228582,FALSE,"",1,"Acipenser_nudiventris","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",1,"",""
"98","acipenser oxyrhynchus","Acipenser oxyrinchus",FALSE,962564,TRUE,"",1,"Acipenser_oxyrinchus","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",5,"","HIGHER_CONF"
"99","acipenser persicus","Acipenser persicus",FALSE,228602,FALSE,"",1,"Acipenser_persicus","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",1,"",""
"100","acipenser ruthenus","Acipenser ruthenus",FALSE,378930,FALSE,"",1,"Acipenser_ruthenus","Acipenser","Acipenseridae","Acipenseriformes","diurnal","diurnal",3,"GCA 004119895.1",""
"101","acipenser schrenckii","Acipenser schrenckii",FALSE,627357,FALSE,"",1,"Acipenser_schrenckii","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",5,"",""
"102","acipenser stellatus","Acipenser stellatus",FALSE,378920,FALSE,"",1,"Acipenser_stellatus","Acipenser","Acipenseridae","Acipenseriformes","diurnal","diurnal",5,"",""
"103","acipenser transmontanus","Acipenser transmontanus",FALSE,378925,FALSE,"",1,"Acipenser_transmontanus","Acipenser","Acipenseridae","Acipenseriformes","nocturnal","nocturnal",4,"",""
"104","acnodon normani","Acnodon normani",FALSE,179103,FALSE,"",1,"Acnodon_normani","Acnodon","Serrasalmidae","Characiformes","diurnal","diurnal",3,"",""
"105","acrochordonichthys gyrinus","Acrochordonichthys gyrinus",FALSE,3623990,FALSE,"",1,"Acrochordonichthys_gyrinus","Acrochordonichthys","Akysidae","Siluriformes","nocturnal","nocturnal",1,"",""
"106","acrochordonichthys rugosus","Acrochordonichthys rugosus",FALSE,315256,FALSE,"",1,"Acrochordonichthys_rugosus","Acrochordonichthys","Akysidae","Siluriformes","nocturnal","nocturnal",1,"",""
"107","acrossocheilus hexagonolepis","Neolissochilus hexagonolepis",FALSE,620228,TRUE,"",1,"Neolissochilus_hexagonolepis","Neolissochilus","Cyprinidae","Cypriniformes","diurnal","diurnal",1,"","NEW_SPECIES"
"108","acrossocheilus yunnanensis","Acrossocheilus yunnanensis",FALSE,528252,FALSE,"",1,"Acrossocheilus_yunnanensis","Acrossocheilus","Cyprinidae","Cypriniformes","unclear","unknown",3,"","NEW_SPECIES"
"109","acyrtops amplicirrus","Acyrtops amplicirrus",FALSE,3638557,FALSE,"",1,"Acyrtops_amplicirrus","Acyrtops","Gobiesocidae","Gobiesociformes","diurnal","diurnal",1,"",""
"110","acyrtops beryllinus","Acyrtops beryllinus",FALSE,302809,FALSE,"",1,"Acyrtops_beryllinus","Acyrtops","Gobiesocidae","Gobiesociformes","diurnal","diurnal",1,"",""
"111","acyrtus artius","Acyrtus artius",FALSE,3638651,FALSE,"",1,"Acyrtus_artius","Acyrtus","Gobiesocidae","Gobiesociformes","diurnal","diurnal",1,"",""
"112","acyrtus pauciradiatus","Acyrtus pauciradiatus",FALSE,3638717,FALSE,"",1,"Acyrtus_pauciradiatus","Acyrtus","Gobiesocidae","Gobiesociformes","diurnal","diurnal",1,"",""
"113","acyrtus rubiginosus","Acyrtus rubiginosus",FALSE,3638715,FALSE,"",1,"Acyrtus_rubiginosus","Acyrtus","Gobiesocidae","Gobiesociformes","diurnal","diurnal",1,"",""
"115","aeoliscus strigatus","Aeoliscus strigatus",FALSE,652346,FALSE,"incertae_sedis_inherited",1,"Aeoliscus_strigatus","Aeoliscus","Centriscidae","Syngnathiformes","diurnal","diurnal",2,"",""
"116","aequidens michaeli","Aequidens michaeli",FALSE,314753,FALSE,"",1,"Aequidens_michaeli","Aequidens","Cichlidae","Cichliformes","diurnal","diurnal",3,"",""
"117","aequidens pallidus","Aequidens pallidus",FALSE,3636211,FALSE,"",1,"Aequidens_pallidus","Aequidens","Cichlidae","Cichliformes","diurnal","diurnal",3,"",""
"118","aequidens plagiozonatus","Aequidens plagiozonatus",FALSE,3636223,FALSE,"",1,"Aequidens_plagiozonatus","Aequidens","Cichlidae","Cichliformes","diurnal","diurnal",4,"","NEW_SPECIES"
"119","aequidens portalegrensis","Cichlasoma portalagrense",FALSE,221908,TRUE,"sibling_higher",1,"Cichlasoma_portalagrense",NA,NA,NA,"diurnal","diurnal",1,"",""
"120","aequidens pulcher","Andinoacara pulcher",FALSE,222797,TRUE,"",1,"Andinoacara_pulcher","Andinoacara","Cichlidae","Cichliformes","crepuscular/diurnal","crepuscular",5,"",""
"121","aequidens tetramerus","Aequidens tetramerus",FALSE,797217,FALSE,"",1,"Aequidens_tetramerus","Aequidens","Cichlidae","Cichliformes","diurnal","diurnal",4,"","NEW_SPECIES"
"122","aethaloperca rogaa","Aethaloperca rogaa",FALSE,730868,FALSE,"",1,"Aethaloperca_rogaa","Aethaloperca","Serranidae","Perciformes/Serranoidei","nocturnal","nocturnal",3,"",""
"123","aetobatus narinari","Aetobatus narinari",FALSE,759551,FALSE,"",1,"Aetobatus_narinari","Aetobatus","Aetobatidae","Myliobatiformes","nocturnal","nocturnal",4,"",""
"124","aetomylaeus bovinus","Aetomylaeus bovinus",FALSE,126580,FALSE,"",1,"Aetomylaeus_bovinus","Aetomylaeus","Myliobatidae","Myliobatiformes","crepuscular/nocturnal","crepuscular",4,"","NEW_SPECIES"
"125","afurcagobius suppositus","Afurcagobius suppositus",FALSE,3637551,FALSE,"",1,"Afurcagobius_suppositus","Afurcagobius","Gobiidae","Gobiiformes","nocturnal","nocturnal",2,"",""
"126","afurcagobius tamarensis","Afurcagobius tamarensis",FALSE,1000652,FALSE,"",1,"Afurcagobius_tamarensis","Afurcagobius","Gobiidae","Gobiiformes","nocturnal","nocturnal",2,"",""
"127","agamyxis pectinifrons","Agamyxis pectinifrons",FALSE,50909,FALSE,"",1,"Agamyxis_pectinifrons","Agamyxis","Doradidae","Siluriformes","nocturnal","nocturnal",1,"","NEW_SPECIES"
"128","ageneiosus inermis","Ageneiosus inermis",FALSE,1077781,FALSE,"",1,"Ageneiosus_inermis","Ageneiosus","Auchenipteridae","Siluriformes","diurnal","diurnal",3,"",""
"129","ageneiosus pardalis","Ageneiosus pardalis",FALSE,3623505,FALSE,"",1,"Ageneiosus_pardalis","Ageneiosus","Auchenipteridae","Siluriformes","nocturnal","nocturnal",2,"",""
"130","agoniates anchovia","Agoniates anchovia",FALSE,744026,FALSE,"",1,"Agoniates_anchovia","Agoniates","Triportheidae","Characiformes","crepuscular","crepuscular",2,"",""
"131","agonomalus mozinoi","Agonomalus mozinoi",FALSE,3632026,FALSE,"",1,"Agonomalus_mozinoi","Agonomalus","Agonidae","Perciformes/Cottoidei","unclear","unknown",1,"",""
"132","agonopsis chiloensis","Agonopsis chiloensis",FALSE,325753,FALSE,"",1,"Agonopsis_chiloensis","Agonopsis","Agonidae","Perciformes/Cottoidei","unclear","unknown",1,"",""
"133","agonopsis vulsa","Agonopsis vulsa",FALSE,467091,FALSE,"",1,"Agonopsis_vulsa","Agonopsis","Agonidae","Perciformes/Cottoidei","nocturnal","nocturnal",2,"",""
"134","agonostomus monticola","Agonostomus monticola",FALSE,760514,FALSE,"",1,"Agonostomus_monticola",NA,NA,NA,"nocturnal","nocturnal",1,"","NEW_SPECIES"
"135","agosia chrysogaster","Agosia chrysogaster",FALSE,308519,FALSE,"",1,"Agosia_chrysogaster","Agosia","Leuciscidae","Cypriniformes","diurnal","diurnal",3,"","NEW_SPECIES"
"136","ahlia egmontis","Ahlia egmontis",FALSE,706497,FALSE,"",1,"Ahlia_egmontis","Ahlia","Ophichthidae","Anguilliformes","diurnal","diurnal",1,"",""
"137","aidablennius sphynx","Aidablennius sphynx",FALSE,898527,FALSE,"",1,"Aidablennius_sphynx","Aidablennius","Blenniidae","Blenniiformes","unclear","unknown",2,"","HIGHER_CONF"
"138","ailia coila","Ailia coila",FALSE,583421,FALSE,"",1,"Ailia_coila","Ailia","Ailiidae","Siluriformes","nocturnal","nocturnal",1,"",""
