"","Species_name","Diel_Pattern_2","tips"
"Raphicerus sharpei","Raphicerus sharpei","Nocturnal","Raphicerus_sharpei"
"Redunca arundinum","Redunca arundinum","Cathemeral","Redunca_arundinum"
"Redunca fulvorufula","Redunca fulvorufula","Cathemeral","Redunca_fulvorufula"
"Redunca redunca","Redunca redunca","Cathemeral","Redunca_redunca"
"Rucervus duvaucelii","Rucervus duvaucelii","Diurnal","Rucervus_duvaucelii"
"Rucervus eldii","Rucervus eldii","Crepuscular","Rucervus_eldii"
"Rupicapra pyrenaica","Rupicapra pyrenaica","Diurnal","Rupicapra_pyrenaica"
"Rupicapra rupicapra","Rupicapra rupicapra","Diurnal","Rupicapra_rupicapra"
"Rusa alfredi","Rusa alfredi","Nocturnal","Rusa_alfredi"
"Rusa marianna","Rusa marianna","Nocturnal","Rusa_marianna"
"Rusa timorensis","Rusa timorensis","Diurnal","Rusa_timorensis"
"Rusa unicolor","Rusa unicolor","Nocturnal","Rusa_unicolor"
"Saiga tatarica","Saiga tatarica","Diurnal","Saiga_tatarica"
"Sus ahoenobarbus","Sus ahoenobarbus","Diurnal","Sus_ahoenobarbus"
"Sus barbatus","Sus barbatus","Diurnal","Sus_barbatus"
"Sus cebifrons","Sus cebifrons","Nocturnal","Sus_cebifrons"
"Sus celebensis","Sus celebensis","Diurnal","Sus_celebensis"
"Sus oliveri","Sus oliveri","Nocturnal","Sus_oliveri"
"Sus philippensis","Sus philippensis","Nocturnal","Sus_philippensis"
"Sus scrofa","Sus scrofa","Nocturnal","Sus_scrofa"
"Sus verrucosus","Sus verrucosus","Nocturnal","Sus_verrucosus"
"Sylvicapra grimmia","Sylvicapra grimmia","Diurnal","Sylvicapra_grimmia"
"Syncerus caffer","Syncerus caffer","Nocturnal/Crepuscular","Syncerus_caffer"
"Tayassu pecari","Tayassu pecari","Diurnal/Crepuscular","Tayassu_pecari"
"Tetracerus quadricornis","Tetracerus quadricornis","Crepuscular","Tetracerus_quadricornis"
"Tragelaphus angasii","Tragelaphus angasii","Diurnal","Tragelaphus_angasii"
"Tragelaphus buxtoni","Tragelaphus buxtoni","Nocturnal","Tragelaphus_buxtoni"
"Tragelaphus derbianus","Tragelaphus derbianus","Crepuscular","Tragelaphus_derbianus"
"Tragelaphus eurycerus","Tragelaphus eurycerus","Nocturnal","Tragelaphus_eurycerus"
"Tragelaphus imberbis","Tragelaphus imberbis","Nocturnal","Tragelaphus_imberbis"
"Tragelaphus oryx","Tragelaphus oryx","Nocturnal","Tragelaphus_oryx"
"Tragelaphus scriptus","Tragelaphus scriptus","Nocturnal/Crepuscular","Tragelaphus_scriptus"
"Tragelaphus spekii","Tragelaphus spekii","Diurnal","Tragelaphus_spekii"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","Cathemeral","Tragelaphus_strepsiceros"
"Tragulus javanicus","Tragulus javanicus","Nocturnal","Tragulus_javanicus"
"Tragulus kanchil","Tragulus kanchil","Cathemeral","Tragulus_kanchil"
"Tragulus napu","Tragulus napu","Cathemeral","Tragulus_napu"
"Tragulus nigricans","Tragulus nigricans","Nocturnal","Tragulus_nigricans"
"Tragulus versicolor","Tragulus versicolor","Nocturnal","Tragulus_versicolor"
"Tragulus williamsoni","Tragulus williamsoni","Nocturnal","Tragulus_williamsoni"
"Vicugna vicugna","Vicugna vicugna","Diurnal","Vicugna_vicugna"
