"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Moschiola kathygre","Moschiola kathygre","Nocturnal","Moschiola_kathygre","Nocturnal","Nocturnal","Nocturnal"
"Moschiola meminna","Moschiola meminna","Nocturnal","Moschiola_meminna","Nocturnal","Nocturnal","Nocturnal"
"Moschus anhuiensis","Moschus anhuiensis","Nocturnal","Moschus_anhuiensis","Nocturnal","Nocturnal","Nocturnal"
"Moschus berezovskii","Moschus berezovskii","Nocturnal","Moschus_berezovskii","Nocturnal","Nocturnal","Nocturnal"
"Moschus chrysogaster","Moschus chrysogaster","Nocturnal","Moschus_chrysogaster","Nocturnal","Nocturnal","Nocturnal"
"Moschus cupreus","Moschus cupreus","Nocturnal","Moschus_cupreus","Nocturnal","Nocturnal","Nocturnal"
"Moschus fuscus","Moschus fuscus","Nocturnal","Moschus_fuscus","Nocturnal","Nocturnal","Nocturnal"
"Moschus leucogaster","Moschus leucogaster","Nocturnal","Moschus_leucogaster","Nocturnal","Nocturnal","Nocturnal"
"Moschus moschiferus","Moschus moschiferus","Crepuscular","Moschus_moschiferus",NA,"Crepuscular","Crepuscular"
"Muntiacus atherodes","Muntiacus atherodes","Diurnal","Muntiacus_atherodes","Diurnal","Diurnal","Diurnal"
"Muntiacus crinifrons","Muntiacus crinifrons","Cathemeral","Muntiacus_crinifrons",NA,"Cathemeral","Cathemeral"
"Muntiacus feae","Muntiacus feae","Cathemeral","Muntiacus_feae",NA,"Cathemeral","Cathemeral"
"Muntiacus gongshanensis","Muntiacus gongshanensis","Crepuscular","Muntiacus_gongshanensis",NA,"Crepuscular","Crepuscular"
"Muntiacus montanus","Muntiacus montanus","Cathemeral","Muntiacus_montanus",NA,"Cathemeral","Cathemeral"
"Muntiacus muntjak","Muntiacus muntjak","Cathemeral","Muntiacus_muntjak",NA,"Cathemeral","Cathemeral"
"Muntiacus putaoensis","Muntiacus putaoensis","Cathemeral","Muntiacus_putaoensis",NA,"Cathemeral","Cathemeral"
