"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Eudorcas thomsonii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Eudorcas_thomsonii"
"Gazella bennettii","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",2,"Gazella_bennettii"
"Gazella cuvieri","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",1,"Gazella_cuvieri"
"Gazella dorcas","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",4,"Gazella_dorcas"
"Gazella gazella","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Gazella_gazella"
"Gazella leptoceros","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",3,"Gazella_leptoceros"
"Gazella marica","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Gazella_marica"
"Gazella spekei","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Gazella_spekei"
"Gazella subgutturosa","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",2,"Gazella_subgutturosa"
"Giraffa camelopardalis","Artiodactyla","Ruminantia","non-cetacean","Giraffidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Giraffa_camelopardalis"
"Hemitragus jemlahicus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Hemitragus_jemlahicus"
"Hippocamelus antisensis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",3,"Hippocamelus_antisensis"
