"Species_name","Family","column","value"
"Redunca fulvorufula","Bovidae","Conf2.1","unclear/crepuscular"
"Redunca fulvorufula","Bovidae","Conf4","cathemeral/crepuscular"
"Antidorcas marsupialis","Bovidae","Conf2.1","cathemeral/crepuscular"
"Antidorcas marsupialis","Bovidae","Conf4","cathemeral/crepuscular"
"Antilope cervicapra","Bovidae","Conf2.1","unclear/crepuscular"
"Antilope cervicapra","Bovidae","Conf4","cathemeral/crepuscular"
"Beatragus hunteri","Bovidae","Conf2.1","unclear/crepuscular"
"Beatragus hunteri","Bovidae","Conf4","cathemeral/crepuscular"
"Hydropotes inermis","Cervidae","Conf2.1","unclear/crepuscular"
"Hydropotes inermis","Cervidae","Conf4","cathemeral/crepuscular"
"Ovis canadensis","Bovidae","Conf1.1","cathemeral/crepuscular"
"Ovis canadensis","Bovidae","Conf4","cathemeral"
"Tragelaphus eurycerus","Bovidae","Conf1.1","nocturnal/crepuscular"
"Tragelaphus eurycerus","Bovidae","Conf3","nocturnal"
"Tragelaphus eurycerus","Bovidae","Conf3.2","nocturnal"
"Tragelaphus eurycerus","Bovidae","Conf3.3","nocturnal"
"Cephalophus ogilbyi","Bovidae","Conf3","diurnal"
"Cephalophus ogilbyi","Bovidae","Conf3.1","diurnal"
"Cephalophus ogilbyi","Bovidae","Conf3.2","diurnal"
"Cephalophus ogilbyi","Bovidae","Conf4.3","diurnal"
"Bison bonasus","Bovidae","Conf2.1","cathemeral"
"Bison bonasus","Bovidae","Conf2.2","cathemeral"
"Bison bonasus","Bovidae","Conf3","cathemeral"
"Bison bonasus","Bovidae","Conf4.3","cathemeral"
"Hylochoerus meinertzhageni","Suidae","Conf2.1","diurnal/crepuscular"
"Hylochoerus meinertzhageni","Suidae","Conf3","diurnal/crepuscular"
"Hylochoerus meinertzhageni","Suidae","Conf3.2","diurnal"
"Hylochoerus meinertzhageni","Suidae","Conf3.3","diurnal"
"Mazama gouazoubira","Cervidae","Conf3","diurnal/crepuscular"
"Mazama gouazoubira","Cervidae","Conf3.1","cathemeral/crepuscular"
"Mazama gouazoubira","Cervidae","Conf3.2","cathemeral/crepuscular"
"Mazama gouazoubira","Cervidae","Conf3.3","diurnal/crepuscular"
"Rusa unicolor","Cervidae","Conf3","nocturnal"
"Rusa unicolor","Cervidae","Conf3.1","nocturnal"
"Rusa unicolor","Cervidae","Conf3.2","nocturnal/crepuscular"
"Rusa unicolor","Cervidae","Conf3.3","nocturnal"
"Axis axis","Cervidae","Conf2.3","unclear/crepuscular"
"Axis axis","Cervidae","Conf3","cathemeral/crepuscular"
"Axis axis","Cervidae","Conf3.1","cathemeral/crepuscular"
"Axis axis","Cervidae","Conf3.2","diurnal"
"Pecari tajacu","Tayassuidae","Conf2.2","diurnal/crepuscular"
"Pecari tajacu","Tayassuidae","Conf3","diurnal"
"Pecari tajacu","Tayassuidae","Conf3.1","diurnal/crepuscular"
"Pecari tajacu","Tayassuidae","Conf3.3","diurnal/crepuscular"
"Pecari tajacu","Tayassuidae","Conf4.4","diurnal/crepuscular"
"Choeropsis liberiensis","Hippopotamidae","Conf3","nocturnal"
"Choeropsis liberiensis","Hippopotamidae","Conf3.1","cathemeral"
"Choeropsis liberiensis","Hippopotamidae","Conf3.2","nocturnal"
"Hippotragus equinus","Bovidae","Conf2.1","diurnal/crepuscular"
"Hippotragus equinus","Bovidae","Conf3","diurnal"
"Hippotragus equinus","Bovidae","Conf3.2","diurnal"
"Cephalophus callipygus","Bovidae","Conf3","diurnal/crepuscular"
"Cephalophus callipygus","Bovidae","Conf3.1","diurnal"
"Cephalophus callipygus","Bovidae","Conf3.2","diurnal"
"Cephalophus dorsalis","Bovidae","Conf3","nocturnal"
"Cephalophus dorsalis","Bovidae","Conf3.1","nocturnal"
"Cephalophus dorsalis","Bovidae","Conf3.2","nocturnal"
"Cephalophus dorsalis","Bovidae","Conf3.3","nocturnal/crepuscular"
"Cephalophus dorsalis","Bovidae","Conf3.4","nocturnal"
"Cephalophus dorsalis","Bovidae","Conf4.5","nocturnal"
"Cephalophus leucogaster","Bovidae","Conf3","diurnal/crepuscular"
"Cephalophus leucogaster","Bovidae","Conf3.1","diurnal"
"Cephalophus leucogaster","Bovidae","Conf3.2","diurnal"
"Cephalophus nigrifrons","Bovidae","Conf3","diurnal/crepuscular"
"Cephalophus nigrifrons","Bovidae","Conf3.1","diurnal"
"Cephalophus nigrifrons","Bovidae","Conf3.2","diurnal"
"Cephalophus silvicultor","Bovidae","Conf3","nocturnal/crepuscular"
"Cephalophus silvicultor","Bovidae","Conf3.1","nocturnal/crepuscular"
"Cephalophus silvicultor","Bovidae","Conf3.2","nocturnal/crepuscular"
"Cephalophus silvicultor","Bovidae","Conf3.3","nocturnal"
