"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Gazella bennettii","Gazella bennettii","nocturnal","Gazella_bennettii","nocturnal","nocturnal","nocturnal"
"Gazella cuvieri","Gazella cuvieri","nocturnal","Gazella_cuvieri","nocturnal","nocturnal","nocturnal"
"Gazella dorcas","Gazella dorcas","nocturnal","Gazella_dorcas","nocturnal","nocturnal","nocturnal"
"Gazella gazella","Gazella gazella","cathemeral/crepuscular","Gazella_gazella",NA,"crepuscular","cathemeral"
"Gazella leptoceros","Gazella leptoceros","cathemeral/crepuscular","Gazella_leptoceros",NA,"crepuscular","cathemeral"
"Gazella marica","Gazella marica","cathemeral/crepuscular","Gazella_marica",NA,"crepuscular","cathemeral"
"Gazella spekei","Gazella spekei","cathemeral/crepuscular","Gazella_spekei",NA,"crepuscular","cathemeral"
"Gazella subgutturosa","Gazella subgutturosa","diurnal","Gazella_subgutturosa","diurnal","diurnal","diurnal"
"Giraffa camelopardalis","Giraffa camelopardalis","diurnal","Giraffa_camelopardalis","diurnal","diurnal","diurnal"
"Hemitragus jemlahicus","Hemitragus jemlahicus","diurnal","Hemitragus_jemlahicus","diurnal","diurnal","diurnal"
"Hippocamelus antisensis","Hippocamelus antisensis","diurnal","Hippocamelus_antisensis","diurnal","diurnal","diurnal"
"Hippocamelus bisulcus","Hippocamelus bisulcus","diurnal","Hippocamelus_bisulcus","diurnal","diurnal","diurnal"
"Hippopotamus amphibius","Hippopotamus amphibius","nocturnal/crepuscular","Hippopotamus_amphibius","nocturnal","crepuscular","nocturnal"
"Hippotragus equinus","Hippotragus equinus","diurnal","Hippotragus_equinus","diurnal","diurnal","diurnal"
"Hippotragus niger","Hippotragus niger","cathemeral","Hippotragus_niger",NA,"crepuscular","cathemeral"
"Hydropotes inermis","Hydropotes inermis","cathemeral","Hydropotes_inermis",NA,"crepuscular","cathemeral"
"Hyemoschus aquaticus","Hyemoschus aquaticus","nocturnal","Hyemoschus_aquaticus","nocturnal","nocturnal","nocturnal"
"Hylochoerus meinertzhageni","Hylochoerus meinertzhageni","diurnal/crepuscular","Hylochoerus_meinertzhageni","diurnal","crepuscular","diurnal"
"Kobus ellipsiprymnus","Kobus ellipsiprymnus","cathemeral/crepuscular","Kobus_ellipsiprymnus",NA,"crepuscular","cathemeral"
"Kobus kob","Kobus kob","cathemeral","Kobus_kob",NA,"crepuscular","cathemeral"
"Kobus leche","Kobus leche","diurnal","Kobus_leche","diurnal","diurnal","diurnal"
"Kobus megaceros","Kobus megaceros","diurnal","Kobus_megaceros","diurnal","diurnal","diurnal"
"Kobus vardonii","Kobus vardonii","cathemeral/crepuscular","Kobus_vardonii",NA,"crepuscular","cathemeral"
"Lama guanicoe","Lama guanicoe","diurnal","Lama_guanicoe","diurnal","diurnal","diurnal"
"Litocranius walleri","Litocranius walleri","diurnal","Litocranius_walleri","diurnal","diurnal","diurnal"
"Madoqua guentheri","Madoqua guentheri","diurnal","Madoqua_guentheri","diurnal","diurnal","diurnal"
"Madoqua kirkii","Madoqua kirkii","diurnal/crepuscular","Madoqua_kirkii","diurnal","crepuscular","diurnal"
"Madoqua piacentinii","Madoqua piacentinii","cathemeral","Madoqua_piacentinii",NA,"crepuscular","cathemeral"
"Madoqua saltiana","Madoqua saltiana","diurnal/crepuscular","Madoqua_saltiana","diurnal","crepuscular","diurnal"
"Mazama americana","Mazama americana","nocturnal/crepuscular","Mazama_americana","nocturnal","crepuscular","nocturnal"
"Mazama bororo","Mazama bororo","nocturnal","Mazama_bororo","nocturnal","nocturnal","nocturnal"
"Mazama bricenii","Mazama bricenii","cathemeral","Mazama_bricenii",NA,"crepuscular","cathemeral"
"Mazama chunyi","Mazama chunyi","cathemeral/crepuscular","Mazama_chunyi",NA,"crepuscular","cathemeral"
"Mazama gouazoubira","Mazama gouazoubira","diurnal/crepuscular","Mazama_gouazoubira","diurnal","crepuscular","diurnal"
"Mazama nana","Mazama nana","cathemeral","Mazama_nana",NA,"crepuscular","cathemeral"
"Mazama nemorivaga","Mazama nemorivaga","cathemeral","Mazama_nemorivaga",NA,"crepuscular","cathemeral"
"Mazama pandora","Mazama pandora","cathemeral/crepuscular","Mazama_pandora",NA,"crepuscular","cathemeral"
"Mazama rufina","Mazama rufina","nocturnal","Mazama_rufina","nocturnal","nocturnal","nocturnal"
"Mazama temama","Mazama temama","cathemeral","Mazama_temama",NA,"crepuscular","cathemeral"
"Moschiola indica","Moschiola indica","nocturnal","Moschiola_indica","nocturnal","nocturnal","nocturnal"
"Moschiola kathygre","Moschiola kathygre","nocturnal","Moschiola_kathygre","nocturnal","nocturnal","nocturnal"
"Moschiola meminna","Moschiola meminna","nocturnal","Moschiola_meminna","nocturnal","nocturnal","nocturnal"
"Moschus anhuiensis","Moschus anhuiensis","nocturnal","Moschus_anhuiensis","nocturnal","nocturnal","nocturnal"
"Moschus berezovskii","Moschus berezovskii","nocturnal","Moschus_berezovskii","nocturnal","nocturnal","nocturnal"
"Moschus chrysogaster","Moschus chrysogaster","nocturnal","Moschus_chrysogaster","nocturnal","nocturnal","nocturnal"
"Moschus cupreus","Moschus cupreus","nocturnal","Moschus_cupreus","nocturnal","nocturnal","nocturnal"
"Moschus fuscus","Moschus fuscus","nocturnal","Moschus_fuscus","nocturnal","nocturnal","nocturnal"
"Moschus leucogaster","Moschus leucogaster","nocturnal","Moschus_leucogaster","nocturnal","nocturnal","nocturnal"
"Moschus moschiferus","Moschus moschiferus","cathemeral/crepuscular","Moschus_moschiferus",NA,"crepuscular","cathemeral"
"Muntiacus atherodes","Muntiacus atherodes","diurnal","Muntiacus_atherodes","diurnal","diurnal","diurnal"
"Muntiacus crinifrons","Muntiacus crinifrons","cathemeral","Muntiacus_crinifrons",NA,"crepuscular","cathemeral"
"Muntiacus feae","Muntiacus feae","cathemeral","Muntiacus_feae",NA,"crepuscular","cathemeral"
"Muntiacus gongshanensis","Muntiacus gongshanensis","cathemeral/crepuscular","Muntiacus_gongshanensis",NA,"crepuscular","cathemeral"
"Muntiacus montanus","Muntiacus montanus","cathemeral","Muntiacus_montanus",NA,"crepuscular","cathemeral"
"Muntiacus muntjak","Muntiacus muntjak","cathemeral","Muntiacus_muntjak",NA,"crepuscular","cathemeral"
"Muntiacus putaoensis","Muntiacus putaoensis","cathemeral","Muntiacus_putaoensis",NA,"crepuscular","cathemeral"
"Muntiacus reevesi","Muntiacus reevesi","cathemeral","Muntiacus_reevesi",NA,"crepuscular","cathemeral"
"Muntiacus rooseveltorum","Muntiacus rooseveltorum","cathemeral","Muntiacus_rooseveltorum",NA,"crepuscular","cathemeral"
"Muntiacus truongsonensis","Muntiacus truongsonensis","cathemeral","Muntiacus_truongsonensis",NA,"crepuscular","cathemeral"
"Muntiacus vaginalis","Muntiacus vaginalis","cathemeral","Muntiacus_vaginalis",NA,"crepuscular","cathemeral"
"Muntiacus vuquangensis","Muntiacus vuquangensis","diurnal","Muntiacus_vuquangensis","diurnal","diurnal","diurnal"
"Naemorhedus baileyi","Naemorhedus baileyi","diurnal","Naemorhedus_baileyi","diurnal","diurnal","diurnal"
"Naemorhedus caudatus","Naemorhedus caudatus","nocturnal","Naemorhedus_caudatus","nocturnal","nocturnal","nocturnal"
"Naemorhedus goral","Naemorhedus goral","cathemeral/crepuscular","Naemorhedus_goral",NA,"crepuscular","cathemeral"
"Naemorhedus griseus","Naemorhedus griseus","cathemeral/crepuscular","Naemorhedus_griseus",NA,"crepuscular","cathemeral"
"Nanger dama","Nanger dama","diurnal","Nanger_dama","diurnal","diurnal","diurnal"
"Nanger granti","Nanger granti","diurnal","Nanger_granti","diurnal","diurnal","diurnal"
