Species,State,Activity,NocGeiger,ActNOC,DiuGeiger,ActDIU,Lit,Family,Order,Class
Eleutherodactylus_albipes,NOC,1,1,1,1,1,Diaz et al 2005,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_alcoae,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_auriculatus,NOC,1,1,1,1,1,Rodriguez et al 2010,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_cooki,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_coqui,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_cundalli,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_dimidiatus,NOC,1,1,1,1,1,Diaz et al 2005,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_fowleri,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_gossei,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_johnstonei,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_lentus,NOC,1,1,1,1,1,Perry 2009,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_martinicensis,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_nubicola,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_planirostris,NOC,1,1,1,1,1,Petrovic 1973,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_unicolor,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_varleyi,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_zeus,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_zugi,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
Phyzelaphryne_miriamae,DIU,2,2,0,2,0,Heyer and Gascon 1995,Eleutherodactylidae,Anura,Amphibia
Heleophryne_purcelli,NOC,1,1,1,1,1,Channing 2001,Heleophrynidae,Anura,Amphibia
Flectonotus_pygmaeus,NOC,1,1,1,1,1,Duellman and Maness 1980,Hemiphractidae,Anura,Amphibia
Gastrotheca_cornuta,NOC,1,1,1,1,1,Savage 2002,Hemiphractidae,Anura,Amphibia
Gastrotheca_marsupiata,NOC,1,1,1,1,1,Sinsch and Joermann 1989,Hemiphractidae,Anura,Amphibia
Hemiphractus_proboscideus,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Hemiphractidae,Anura,Amphibia
Hemiphractus_scutatus,NOC,1,1,1,1,1,von May et al 2008,Hemiphractidae,Anura,Amphibia
Hemisus_marmoratus,ARR,3,1,1,2,0,Behangana et al 2009,Hemisotidae,Anura,Amphibia
Acris_crepitans,ARR,3,1,1,2,0,Harding 2000,Hylidae,Anura,Amphibia
Acris_gryllus,NOC,1,1,1,1,1,Mecham 1964,Hylidae,Anura,Amphibia
Agalychnis_annae,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Agalychnis_callidryas,NOC,1,1,1,1,1,Lee 2000,Hylidae,Anura,Amphibia
Agalychnis_moreletii,NOC,1,1,1,1,1,Lee 2000,Hylidae,Anura,Amphibia
Agalychnis_saltator,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Agalychnis_spurrelli,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Anotheca_spinosa,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Aplastodiscus_arildae,NOC,1,1,1,1,1,Eizemberg et al 2008,Hylidae,Anura,Amphibia
Aplastodiscus_leucopygius,NOC,1,1,1,1,1,Zina and Haddad 2010,Hylidae,Anura,Amphibia
Aplastodiscus_perviridis,NOC,1,1,1,1,1,Toledo et al 2007,Hylidae,Anura,Amphibia
Bokermannohyla_circumdata,NOC,1,1,1,1,1,Afonso and Eterovick 2007,Hylidae,Anura,Amphibia
Charadrahyla_taeniopus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Corythomantis_greeningi,NOC,1,1,1,1,1,Navas et al 2002,Hylidae,Anura,Amphibia
Cruziohyla_calcarifer,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Cyclorana_alboguttata,NOC,1,1,1,1,1,Booth 2006,Hylidae,Anura,Amphibia
Cyclorana_australis,NOC,1,1,1,1,1,Reynolds et al 2011,Hylidae,Anura,Amphibia
Cyclorana_longipes,NOC,1,1,1,1,1,Crossland et al 2008,Hylidae,Anura,Amphibia
Cyclorana_novaehollandiae,NOC,1,1,1,1,1,Amey and Grigg 1995,Hylidae,Anura,Amphibia
Dendropsophus_anceps,NOC,1,1,1,1,1,Abrunhosa et al 2006,Hylidae,Anura,Amphibia
Dendropsophus_brevifrons,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Dendropsophus_ebraccatus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Dendropsophus_koechlini,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Dendropsophus_leali,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Dendropsophus_leucophyllatus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Dendropsophus_marmoratus,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Dendropsophus_parviceps,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Dendropsophus_rhodopeplus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Dendropsophus_sarayacuensis,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Dendropsophus_triangulum,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Duellmanohyla_rufioculis,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Duellmanohyla_soralia,NOC,1,1,1,1,1,Duellman 2001,Hylidae,Anura,Amphibia
Ecnomiohyla_miliaria,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_andersonii,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_arborea,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_arenicolor,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_avivoca,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_chinensis,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_chrysoscelis,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_cinerea,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Hylidae,Anura,Amphibia
Hyla_femoralis,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_gratiosa,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_japonica,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_meridionalis,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hyla_squirella,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Hylidae,Anura,Amphibia
Hyla_versicolor,NOC,1,1,1,1,1,Harding 2000,Hylidae,Anura,Amphibia
Hylomantis_lemur,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Hypsiboas_albomarginatus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hypsiboas_albopunctatus,NOC,1,1,1,1,1,Toledo et al 2007,Hylidae,Anura,Amphibia
Hypsiboas_boans,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hypsiboas_cinerascens,NOC,1,1,1,1,1,Menin et al 2008,Hylidae,Anura,Amphibia
Hypsiboas_fasciatus,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Hypsiboas_geographicus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Hypsiboas_lanciformis,NOC,1,1,1,1,1,Vonesh 1998,Hylidae,Anura,Amphibia
Hypsiboas_rosenbergi,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Isthmohyla_pseudopuma,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Litoria_caerulea,DIU,2,2,0,2,0,Griffiths 1997,Hylidae,Anura,Amphibia
Litoria_genimaculata,NOC,1,1,1,1,1,Williams and Hero 1998,Hylidae,Anura,Amphibia
Litoria_inermis,CRE,4,1,1,2,0,Cogger 1992,Hylidae,Anura,Amphibia
Litoria_nasuta,NOC,1,1,1,1,1,Cogger 1992,Hylidae,Anura,Amphibia
Litoria_pallida,NOC,1,1,1,1,1,Cogger 1992,Hylidae,Anura,Amphibia
Litoria_pearsoniana,NOC,1,1,1,1,1,Parris 2001,Hylidae,Anura,Amphibia
Litoria_rothii,NOC,1,1,1,1,1,Crossland et al 2008,Hylidae,Anura,Amphibia
Litoria_rubella,NOC,1,1,1,1,1,Crossland et al 2008,Hylidae,Anura,Amphibia
Litoria_tornieri,NOC,1,1,1,1,1,Cogger 1992,Hylidae,Anura,Amphibia
Nyctimystes_dayi,NOC,1,1,1,1,1,Williams and Hero 1998,Hylidae,Anura,Amphibia
Osteocephalus_buckleyi,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Osteocephalus_leprieurii,NOC,1,1,1,1,1,Schluter et al 2004,Hylidae,Anura,Amphibia
Osteocephalus_oophagus,NOC,1,1,1,1,1,Jungfer and Weygoldt 1999,Hylidae,Anura,Amphibia
Osteocephalus_taurinus,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Hylidae,Anura,Amphibia
Osteopilus_septentrionalis,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Pachymedusa_dacnicolor,NOC,1,1,1,1,1,Duellman 2001b,Hylidae,Anura,Amphibia
Phyllodytes_luteolus,NOC,1,1,1,1,1,Eterovick 1999,Hylidae,Anura,Amphibia
Phyllomedusa_atelopoides,NOC,1,1,1,1,1,Duellman 2005,Hylidae,Anura,Amphibia
Phyllomedusa_bicolor,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Hylidae,Anura,Amphibia
Phyllomedusa_hypochondrialis,NOC,1,1,1,1,1,Conceicao et al 2006,Hylidae,Anura,Amphibia
Phyllomedusa_palliata,NOC,1,1,1,1,1,Schluter et al 2004,Hylidae,Anura,Amphibia
Phyllomedusa_tarsius,NOC,1,1,1,1,1,Schluter et al 2004,Hylidae,Anura,Amphibia
Phyllomedusa_tomopterna,NOC,1,1,1,1,1,Schluter et al 2004,Hylidae,Anura,Amphibia
Phyllomedusa_vaillantii,NOC,1,1,1,1,1,Schluter et al 2004,Hylidae,Anura,Amphibia
Plectrohyla_bistincta,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Pseudacris_crucifer,NOC,1,1,1,1,1,Harding 2000,Hylidae,Anura,Amphibia
Pseudacris_nigrita,NOC,1,1,1,1,1,Gosner and Rossman 1959,Hylidae,Anura,Amphibia
Pseudacris_regilla,NOC,1,1,1,1,1,Rorabaugh et al 2004,Hylidae,Anura,Amphibia
Pseudacris_streckeri,NOC,1,1,1,1,1,Brown et al 1972,Hylidae,Anura,Amphibia
Pseudis_minuta,NOC,1,1,1,1,1,Zank et al 2008,Hylidae,Anura,Amphibia
Pseudis_paradoxa,ARR,3,1,1,2,0,Duellman 2005,Hylidae,Anura,Amphibia
Ptychohyla_hypomykter,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Scarthyla_goinorum,ARR,3,1,1,2,0,Duellman 2005,Hylidae,Anura,Amphibia
Scinax_acuminatus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Scinax_boulengeri,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Scinax_catharinae,NOC,1,1,1,1,1,Conte et al 2007,Hylidae,Anura,Amphibia
Scinax_cruentommus,NOC,1,1,1,1,1,Schluter et al 2004,Hylidae,Anura,Amphibia
Scinax_elaeochroa,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Scinax_fuscovarius,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Scinax_garbei,ARR,3,1,1,2,0,Schluter et al 2004,Hylidae,Anura,Amphibia
Scinax_nasicus,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Scinax_ruber,ARR,3,1,1,2,0,Schluter et al 2004?,Hylidae,Anura,Amphibia
Scinax_squalirostris,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Smilisca_baudinii,NOC,1,1,1,1,1,Lee 2000,Hylidae,Anura,Amphibia
Smilisca_cyanosticta,NOC,1,1,1,1,1,Lee 2000,Hylidae,Anura,Amphibia
Smilisca_phaeota,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Smilisca_puma,NOC,1,1,1,1,1,Savage 2002,Hylidae,Anura,Amphibia
Sphaenorhynchus_dorisae,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Hylidae,Anura,Amphibia
Sphaenorhynchus_lacteus,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Hylidae,Anura,Amphibia
Trachycephalus_coriaceus,NOC,1,1,1,1,1,von May et al 2008,Hylidae,Anura,Amphibia
Trachycephalus_resinifictrix,NOC,1,1,1,1,1,Moen et al 2009,Hylidae,Anura,Amphibia
Trachycephalus_venulosus,NOC,1,1,1,1,1,Lee 2000,Hylidae,Anura,Amphibia
Triprion_petasatus,NOC,1,1,1,1,1,Lee 2000,Hylidae,Anura,Amphibia
Crossodactylus_schmidti,DIU,2,2,0,2,0,Caldart et al 2011,Hylodidae,Anura,Amphibia
